n,mean_net,t,sharpe,label,slot,period
86,-7.420153846577182,-0.440219774568026,-0.7505684859459041,FCX-2%→非鉄Short,pm,ALL
31,26.808961963508814,0.8321786541497568,2.3632285741607486,FCX-2%→非鉄Short,pm,IS
55,-26.712928212262018,-1.4174258268785151,-3.0219620167144288,FCX-2%→非鉄Short,pm,OOS
78,-16.263235005142405,-0.7828563390735067,-1.4015376716164893,COMEX銅+1.5%→非鉄Long,full,ALL
17,-35.55619327038123,-0.9074109178151606,-3.4797620223104335,COMEX銅+1.5%→非鉄Long,full,IS
61,-10.886508931223396,-0.4474782550569436,-0.905893248037192,COMEX銅+1.5%→非鉄Long,full,OOS
78,-24.622621836453884,-1.5180358776659586,-2.7177201783052443,COMEX銅+1.5%→非鉄Long,am,ALL
17,-37.49304444991369,-1.1347468681784831,-4.351555595485494,COMEX銅+1.5%→非鉄Long,am,IS
61,-21.0357827474569,-1.1250354134832838,-2.277567621129532,COMEX銅+1.5%→非鉄Long,am,OOS
78,-0.48640746830929604,-0.04127248975053308,-0.07388960949749195,COMEX銅+1.5%→非鉄Long,pm,ALL
17,-5.762766418671252,-0.27802883089217356,-1.0661918959223164,COMEX銅+1.5%→非鉄Long,pm,IS
61,0.9840532227751844,0.0703205111093128,0.1423597135560125,COMEX銅+1.5%→非鉄Long,pm,OOS
78,-10.299669506954235,-2.0834836187072754,-3.730034022934456,COMEX銅+1.5%→非鉄Long,cls,ALL
17,-4.497557070488144,-0.5879917854581127,-2.254845565881134,COMEX銅+1.5%→非鉄Long,cls,IS
61,-11.91665166137921,-1.9985159476798893,-4.045877274790649,COMEX銅+1.5%→非鉄Long,cls,OOS
44,-84.05805608106148,-2.964960838255772,-7.067448094637825,NQ+1.5%→半導体Long,full,ALL
13,-146.0256751286402,-2.0929045763625207,-9.177993711715647,NQ+1.5%→半導体Long,full,IS
31,-58.07163519014141,-2.1313263078196814,-6.052559995841453,NQ+1.5%→半導体Long,full,OOS
