trade_date,open,high,low,close,volume,ret_oc,ret_cc,vol_ma20,vol_med20,vol_ratio,vol_ratio_med,signed_vol,obv,obv_mom20,price_mom20,is_spike_3x,is_spike_2x,fwd_1,fwd_3,fwd_5,fwd_10,fwd_20
2026-01-07,7198.0,7348.0,7123.0,7174.0,5342200,-0.003334259516532323,0.016291259385182055,3418425.0,2839550.0,1.5627664787146127,1.881354439964079,5342200.0,106345100.0,20287200.0,0.3046008365157302,False,False,-0.018817953721773084,0.04683579592974629,0.09422916085865629,0.14022860328965714,0.230136604404795
2026-01-08,7174.0,7287.0,7018.0,7039.0,3157400,-0.018817953721773084,-0.018817953721773084,3558960.0,3101600.0,0.8871692854092207,1.017990714469951,-3157400.0,103187700.0,18536500.0,0.28707259096727,False,False,0.01875266373064366,0.11464696689870713,0.10384997869015478,0.20585310413411007,0.24378462849836624
2026-01-09,7189.0,7230.0,7047.0,7171.0,2998500,-0.002503825288635464,0.01875266373064366,3646495.0,3210850.0,0.8222964792218281,0.9338648644439946,2998500.0,106186200.0,23114800.0,0.34012334143150813,False,False,0.04727374145865282,0.09468693348208057,0.09719704364802673,0.18658485566866556,0.3189234416399387
2026-01-13,7667.0,7698.0,7391.0,7510.0,4422300,-0.02047737054910659,0.04727374145865282,3717430.0,3210850.0,1.1896121783059803,1.3772988460999425,4422300.0,110608500.0,25733600.0,0.3938381588715665,False,False,0.044740346205059955,0.03462050599201061,0.07616511318242347,0.17017310252995999,0.3621837549933422
2026-01-14,7605.0,7846.0,7537.0,7846.0,4139700,0.031689677843524056,0.044740346205059955,3848370.0,3397950.0,1.0757021804036515,1.2182933827749085,4139700.0,114748200.0,27659000.0,0.43857719105243853,False,False,0.0005098139179200434,0.0028039765485596835,0.06806015804231458,0.14759112923782824,0.37586031098649
2026-01-15,7870.0,8043.0,7781.0,7850.0,5409100,-0.0025412960609910717,0.0005098139179200434,3944640.0,3754200.0,1.3712531435061248,1.440812956155772,5409100.0,120157300.0,27775800.0,0.3188844086021505,False,False,-0.010191082802547768,0.02955414012738844,0.042038216560509545,0.25541401273885356,0.25936305732484066
2026-01-16,7750.0,7789.0,7603.0,7770.0,3657700,0.002580645161290418,-0.010191082802547768,3950480.0,3754200.0,0.9258874870901764,0.9742954557562197,-3657700.0,116499600.0,27382400.0,0.3617245005257623,False,False,0.012612612612612706,0.0785070785070785,0.09240669240669241,0.20463320463320467,0.2441441441441441
2026-01-19,7702.0,7884.0,7589.0,7868.0,3726000,0.021552843417294243,0.012612612612612706,3970150.0,3817250.0,0.9385035829880483,0.9760953566048857,3726000.0,120225600.0,33459500.0,0.4014962593516209,False,False,0.027198779867819045,0.039654295882053825,0.08146924250127108,0.05376207422470758,0.18454499237417377
2026-01-20,7868.0,8088.0,7762.0,8082.0,4397400,0.027198779867819045,0.027198779867819045,4038895.0,3851400.0,1.0887631394230353,1.1417666303162486,4397400.0,124623000.0,33880100.0,0.37402244134648077,False,False,0.036872061370947895,0.05023509032417728,0.0873546151942588,0.0825290769611482,0.19747587230883434
2026-01-21,7932.0,8493.0,7884.0,8380.0,6553000,0.05648008068582966,0.036872061370947895,4059925.0,3932850.0,1.6140692254167257,1.6662216967339207,6553000.0,131176000.0,42561800.0,0.44507673736851183,False,False,-0.023866348448687402,0.015393794749403389,0.07446300715990462,0.10978520286396187,0.1843675417661097
2026-01-22,8209.0,8209.0,7924.0,8180.0,6294800,-0.003532708003410878,-0.023866348448687402,4281140.0,4268550.0,1.4703560266657947,1.4746928113762285,-6294800.0,124881200.0,38470100.0,0.41229281767955794,False,False,0.03765281173594137,0.07432762836185813,0.20476772616136918,0.07885085574572126,0.2237163814180929
2026-01-23,8322.0,8590.0,8300.0,8488.0,5828600,0.019947128094208066,0.03765281173594137,4485725.0,4409850.0,1.2993663231696102,1.32172296109845,5828600.0,130709800.0,41359800.0,0.3937602627257799,False,False,0.0024740810556078685,0.06079170593779448,0.10273327049952874,0.03145617342130058,0.2735626767200754
2026-01-26,8638.0,8733.0,8485.0,8509.0,6600200,-0.014934012502894167,0.0024740810556078685,4630210.0,4626200.0,1.4254645037698075,1.4267000994336605,6600200.0,137310000.0,49685800.0,0.4066787898826252,False,False,0.03278881184628046,0.1581854506992597,-0.025619931836878607,0.11152896932659528,0.3691385591726408
2026-01-27,8499.0,8965.0,8441.0,8788.0,8696700,0.03400400047064367,0.03278881184628046,4873930.0,4982000.0,1.7843300991191913,1.7456242472902448,8696700.0,146006700.0,51764800.0,0.3545006165228113,False,False,0.02457897132453346,0.06508875739644981,-0.004437869822485174,0.16408739189804278,0.2909649522075557
2026-01-28,8775.0,9040.0,8688.0,9004.0,6960500,0.026096866096866123,0.02457897132453346,4977880.0,4982000.0,1.3982860173407152,1.3971296668004818,6960500.0,152967200.0,64681700.0,0.42220818196177534,False,False,0.09451354953354074,-0.07918702798756105,0.03287427809862287,0.19891159484673482,0.4021545979564638
2026-01-29,9300.0,9909.0,9120.0,9855.0,12248200,0.05967741935483861,0.09451354953354074,5028085.0,4982000.0,2.4359572282489257,2.4584905660377356,12248200.0,165215400.0,74189700.0,0.5348076623578881,False,True,-0.05022831050228316,-0.11222729578893964,-0.10451547437848807,0.0031456113647894135,0.32420091324200917
2026-01-30,9555.0,10340.0,9002.0,9360.0,22893300,-0.020408163265306145,-0.05022831050228316,5503485.0,5238050.0,4.159782392429524,4.3705768367999545,-22893300.0,142322100.0,45154600.0,0.40224719101123596,True,True,-0.11420940170940175,-0.0064102564102563875,-0.06463675213675213,0.032799145299145405,0.2815170940170941
2026-02-02,8460.0,8850.0,8214.0,8291.0,15563000,-0.01997635933806141,-0.11420940170940175,6341060.0,5238050.0,2.4543215172226724,2.9711438416968146,-15563000.0,126759100.0,34421700.0,0.30423155576529815,False,True,0.05524062236159688,0.0644071885176698,0.1407550355807503,0.12411048124472313,0.29477746954529005
2026-02-03,8524.0,8755.0,8457.0,8749.0,9106100,0.026396058188643767,0.05524062236159688,6877705.0,5375650.0,1.324002701482544,1.6939532893696576,9106100.0,135865200.0,39996200.0,0.3180174751431153,False,False,0.06297862612870042,0.000685792662018514,0.16927648874157053,0.10618356383586702,0.20413761572751166
2026-02-04,8984.0,9519.0,8916.0,9300.0,10513000,0.03517364203027595,0.06297862612870042,7156430.0,5618850.0,1.469028551945593,1.8710234300613116,10513000.0,146378200.0,45375300.0,0.3174670633234169,False,False,-0.051075268817204256,0.01698924731182805,0.1607526881720429,0.06720430107526876,0.08870967741935476
2026-02-05,9200.0,9443.0,8576.0,8825.0,10429200,-0.040760869565217406,-0.051075268817204256,7425385.0,6061700.0,1.4045332329569442,1.7205074484055627,-10429200.0,135949000.0,29603900.0,0.230136604404795,False,False,-0.007932011331444722,0.15920679886685551,0.1202266288951841,0.13427762039660052,0.08396600566572232
2026-02-06,8375.0,8755.0,8185.0,8755.0,8625400,0.0453731343283581,-0.007932011331444722,7679735.0,6423900.0,1.123137712434088,1.342704587555846,-8625400.0,127323600.0,24135900.0,0.24378462849836624,False,False,0.08029697315819528,0.23300970873786397,0.10416904625928036,0.23472301541976015,0.1507709880068533
2026-02-09,9002.0,9648.0,8800.0,9458.0,12238500,0.050655409908909155,0.08029697315819528,7953135.0,6576600.0,1.5388271417497628,1.8609159748198156,12238500.0,139562100.0,33375900.0,0.3189234416399387,False,False,0.08162402199196439,0.04525269613026017,-0.014590822584055863,0.23176147176993012,0.10858532459293713
2026-02-10,9758.0,10320.0,9594.0,10230.0,9117500,0.04837056773929094,0.08162402199196439,8415135.0,6780350.0,1.0834644958161692,1.3446945954117413,9117500.0,148679600.0,38071100.0,0.3621837549933422,False,False,0.05522971652003905,-0.055034213098729245,-0.05395894428152492,0.10899315738025406,-0.016617790811339184
2026-02-12,10480.0,11020.0,10280.0,10795.0,7685500,0.03005725190839703,0.05522971652003905,8649895.0,7792950.0,0.8885078951825427,0.9862118966501774,7685500.0,156365100.0,41616900.0,0.37586031098649,False,False,-0.08420565076424269,-0.13663733209819362,-0.0805928670680871,0.1695229272811487,-0.08022232515053263
2026-02-13,10260.0,10490.0,9876.0,9886.0,7830400,-0.036452241715399625,-0.08420565076424269,8827185.0,8155450.0,0.8870778169937529,0.9601432171124831,-7830400.0,148534700.0,28377400.0,0.25936305732484066,False,False,-0.022152538943961186,-0.021039854339469977,0.012542990086991779,0.32004855351001416,-0.017701800525996347
2026-02-16,10340.0,10340.0,9657.0,9667.0,5210600,-0.06508704061895554,-0.022152538943961186,8948250.0,8227900.0,0.5823038024194674,0.6332843131297172,-5210600.0,143324100.0,26824500.0,0.2441441441441441,False,False,-0.035895313954691255,0.02668873487121126,0.11823730216199446,0.24081928209372094,-0.010344470880314427
2026-02-17,9727.0,9888.0,9290.0,9320.0,5160900,-0.04184229464377509,-0.035895313954691255,9025895.0,8227900.0,0.5717881716993163,0.6272438896923881,-5160900.0,138163200.0,17937600.0,0.18454499237417377,False,False,0.03841201716738207,0.0740343347639485,0.25,0.15182403433476388,0.0745708154506437
2026-02-18,9210.0,9880.0,9200.0,9678.0,5903200,0.05081433224755694,0.03841201716738207,9097640.0,8227900.0,0.6488715754855106,0.7174613206285929,5903200.0,144066400.0,19443400.0,0.19747587230883434,False,False,0.025521802025211926,0.11696631535441204,0.17224633188675353,0.08855135358545163,-0.055899979334573247
2026-02-19,9850.0,9969.0,9750.0,9925.0,5485000,0.0076142131979695105,0.025521802025211926,9172930.0,8227900.0,0.59795506997219,0.666634256614689,5485000.0,149551400.0,18375400.0,0.1843675417661097,False,False,0.008564231738035222,0.1738035264483626,0.2720403022670026,0.02015113350125941,-0.1564735516372796
2026-02-20,9861.0,10010.0,9732.0,10010.0,4286600,0.015110029408782033,0.008564231738035222,9119530.0,8227900.0,0.4700461536943242,0.5209834830272609,4286600.0,153838000.0,28956800.0,0.2237163814180929,False,False,0.07992007992007988,0.13336663336663346,0.3036963036963036,-0.04435564435564432,-0.11818181818181817
2026-02-24,10400.0,10870.0,10310.0,10810.0,5494500,0.039423076923077005,0.07992007992007988,9019120.0,8227900.0,0.6092057761732852,0.6677888647163918,5494500.0,159332500.0,28622700.0,0.2735626767200754,False,False,0.07770582793709524,0.16790009250693805,0.10962072155411651,-0.06799259944495839,-0.14523589269195192
2026-02-25,10940.0,11735.0,10920.0,11650.0,6532500,0.06489945155393051,0.07770582793709524,9002415.0,8227900.0,0.7256386203035519,0.7939449920392809,6532500.0,165865000.0,28555000.0,0.3691385591726408,False,False,-0.02618025751072961,0.12017167381974247,-0.07854077253218883,-0.09999999999999998,-0.19854077253218883
2026-02-26,11880.0,11900.0,11180.0,11345.0,6289400,-0.04503367003366998,-0.02618025751072961,8999030.0,8227900.0,0.6988975478468235,0.7643991784051823,-6289400.0,159575600.0,13568900.0,0.2909649522075557,False,False,0.11282503305420888,0.057293962097840545,-0.07139709122961657,-0.11326575583957688,-0.16456588805641248
2026-02-27,11360.0,12715.0,11350.0,12625.0,11046900,0.11135563380281699,0.11282503305420888,8878665.0,7757950.0,1.244207321708838,1.4239457588667108,11046900.0,170622500.0,17655300.0,0.4021545979564638,False,False,0.03366336633663369,-0.14970297029702972,-0.19801980198019797,-0.2135445544554455,-0.26732673267326734
2026-03-02,13025.0,13300.0,12435.0,13050.0,8114300,0.0019193857965451588,0.03366336633663369,9082985.0,8227900.0,0.893351690000589,0.9861933178575335,8114300.0,178736800.0,13521400.0,0.32420091324200917,False,False,-0.08084291187739467,-0.19272030651341,-0.2669731800766284,-0.2558620689655172,-0.32145593869731803
2026-03-03,13280.0,13280.0,11995.0,11995.0,6969700,-0.09676204819277112,-0.08084291187739467,8876290.0,7972350.0,0.7852041787728882,0.8742340715096553,-6969700.0,171767100.0,29445000.0,0.2815170940170941,False,False,-0.10504376823676531,-0.15589829095456442,-0.1600666944560234,-0.2024176740308462,-0.2002501042100875
2026-03-04,11190.0,11690.0,10410.0,10735.0,8259900,-0.04066130473637175,-0.10504376823676531,8080110.0,7757950.0,1.0222509347026216,1.0647013708518358,-8259900.0,163507200.0,36748100.0,0.29477746954529005,False,False,-0.018630647414997648,-0.10889613414066135,-0.023288309268747143,-0.0670703306939916,-0.14168607359105734
