dt,mkt_am,mkt_pm,am_bucket
2025-05-22,0.0008621714424119084,0.0020660890455239207,0〜+0.5%
2025-05-23,0.0028331875312259764,-0.0005208998739259767,0〜+0.5%
2025-05-26,0.0017962459619001064,0.0035608756415244727,0〜+0.5%
2025-05-27,-0.00020651242326466732,0.007435954994272818,-0.5〜0%
2025-05-28,-0.0035926192899857607,-0.003078885442102297,-0.5〜0%
2025-05-29,0.004395335054445977,0.0007135861645870057,0〜+0.5%
2025-05-30,0.005047526067075444,0.004005175119720145,+0.5〜+1%
2025-06-02,-0.0033246859791452358,0.001123612024516828,-0.5〜0%
2025-06-03,-0.0010355760221090263,-0.0010240758386230854,-0.5〜0%
2025-06-04,0.0033281998484064198,-0.002070807941962074,0〜+0.5%
2025-06-05,0.0013353041162544035,-0.0037835178797442984,0〜+0.5%
2025-06-06,0.004280350862413941,-0.0017162115261722686,0〜+0.5%
2025-06-09,-0.0006081810836046779,-0.0005049858169487572,-0.5〜0%
2025-06-10,0.005862778786975439,-0.006860010360634017,+0.5〜+1%
2025-06-11,-0.0025643778914923197,0.0018063352488938726,-0.5〜0%
2025-06-12,-0.004322314063180591,0.002005299145377301,-0.5〜0%
2025-06-13,-0.009889824998608614,0.0013070571047249112,-1〜-0.5%
2025-06-16,0.001822253932081109,0.0017723470486249511,0〜+0.5%
2025-06-17,0.003493270994987918,0.0008149686315180775,0〜+0.5%
2025-06-18,0.009451861576214101,0.0016773398318335611,+0.5〜+1%
2025-06-19,-0.004748902674225007,1.6965544216955163e-05,-0.5〜0%
2025-06-20,0.000817212121824642,-0.0029884753152108205,0〜+0.5%
2025-06-23,-0.00251988192576563,0.004245916371960951,-0.5〜0%
2025-06-24,-0.0019570580285607785,-0.0007934806408723634,-0.5〜0%
2025-06-25,-0.005889276999179974,0.0038263117390566056,-1〜-0.5%
2025-06-26,0.004808970634412761,0.004417089872309201,0〜+0.5%
2025-06-27,0.007512537970068109,-0.0011765651221328356,+0.5〜+1%
2025-06-30,0.001579209237681882,-0.007453155783594205,0〜+0.5%
2025-07-01,-0.005474427917364798,0.0005252382129825273,-1〜-0.5%
2025-07-02,0.0008955181401780329,0.002670747222588639,0〜+0.5%
2025-07-03,-0.0006119265916786376,0.003971919763702899,-0.5〜0%
2025-07-04,-0.00624564525609331,-0.0012779267592189145,-1〜-0.5%
2025-07-07,-0.005967835770351543,-0.0008536670174227329,-1〜-0.5%
2025-07-08,0.006971733933016537,0.0003943156140823619,+0.5〜+1%
2025-07-09,-0.0037544591304532605,0.002656075400872944,-0.5〜0%
2025-07-10,-0.00535733809149754,0.0010192617639135564,-1〜-0.5%
2025-07-11,-0.0007748095982382772,-0.002242635552074561,-0.5〜0%
2025-07-14,0.001388278508798215,0.00017691824512588829,0〜+0.5%
2025-07-15,-0.001707288092855835,0.0012649692431187158,-0.5〜0%
2025-07-16,-0.0028199447362111407,-0.00015408514255916427,-0.5〜0%
2025-07-17,0.0022997706812647955,0.007532337699425593,0〜+0.5%
2025-07-18,-0.005439693743799003,7.754868520407223e-05,-1〜-0.5%
2025-07-22,0.0008683185484229196,-0.00036496528249040273,0〜+0.5%
2025-07-23,0.008072856712838345,-0.0007309289804037539,+0.5〜+1%
2025-07-24,0.006439619964505263,-0.001470619273441524,+0.5〜+1%
2025-07-25,-0.0023598900254081013,-0.001465114048750943,-0.5〜0%
2025-07-28,-0.004424605715838771,-0.0015062472715033028,-0.5〜0%
2025-07-29,-0.004845653532735233,0.0026081311207689093,-0.5〜0%
2025-07-30,0.0013796735251250453,0.0008980902172568231,0〜+0.5%
2025-07-31,0.007478068430739072,0.001185169451665475,+0.5〜+1%
2025-08-01,0.007825949532217864,-0.003156617592620768,+0.5〜+1%
2025-08-04,0.006117562102062286,0.0027904949521564033,+0.5〜+1%
2025-08-05,0.002443490822394446,-0.0011385166492175263,0〜+0.5%
2025-08-06,0.00972959239723649,-0.0003638854700353064,+0.5〜+1%
2025-08-07,0.008582068105839325,-0.0004398506356056681,+0.5〜+1%
2025-08-08,0.008664705270358519,-0.0031703393357082905,+0.5〜+1%
2025-08-12,0.00872343296660249,-0.001656970457219009,+0.5〜+1%
2025-08-13,0.003791611083061802,-0.000993761671794654,0〜+0.5%
2025-08-14,-0.005088097140684932,-0.0016328432477740894,-1〜-0.5%
2025-08-15,0.005287495046451849,0.005473079001328112,+0.5〜+1%
2025-08-18,0.003609592593400471,-0.0013404590811085535,0〜+0.5%
2025-08-19,-0.0007968197965955744,-0.0011217340061495619,-0.5〜0%
2025-08-20,-0.004843967500495051,-0.0001804964675020693,-0.5〜0%
2025-08-21,-0.0010545919928636263,0.0010664809589364438,-0.5〜0%
2025-08-22,0.003806044843079221,0.000530195463489474,0〜+0.5%
2025-08-25,-0.002425110937993662,-0.0025143725784202197,-0.5〜0%
2025-08-26,-0.0058710186559367255,-0.0008766543078602739,-1〜-0.5%
2025-08-27,-0.001996538736694079,0.0006017495844918711,-0.5〜0%
2025-08-28,0.006118851221917978,0.004203412189790697,+0.5〜+1%
2025-08-29,-0.0021382318959631006,0.0006625434539482588,-0.5〜0%
2025-09-01,-0.003546204555558362,0.00489628983471719,-0.5〜0%
2025-09-02,0.0037358245979335347,-0.00028581570137492155,0〜+0.5%
2025-09-03,-0.002117065837201409,-0.0071193681415150705,-0.5〜0%
2025-09-04,0.005920867961089732,0.0012245878051276048,+0.5〜+1%
2025-09-05,-0.0025513167045764706,0.004856818306406373,-0.5〜0%
2025-09-08,0.0013794412179745537,0.003329237678695761,0〜+0.5%
2025-09-09,-0.005188940159853944,-0.005824860278994175,-1〜-0.5%
2025-09-10,0.0036062597052799092,0.0035509428336358917,0〜+0.5%
2025-09-11,0.004428582242633872,0.00034238873625951034,0〜+0.5%
2025-09-12,-0.0026425603568649863,-0.0012836815587384622,-0.5〜0%
2025-09-16,0.0011749666229505166,-0.001711319858081376,0〜+0.5%
2025-09-17,-0.0009212767259409243,-0.00475777895336215,-0.5〜0%
2025-09-18,0.005037080863419845,-0.0018109567486488131,+0.5〜+1%
2025-09-19,0.002608851395018414,-0.009267321326545784,0〜+0.5%
2025-09-22,0.008944303148848396,-0.004315801313745708,+0.5〜+1%
2025-09-24,-0.002610033073139862,0.004211629514849374,-0.5〜0%
2025-09-25,-0.0018945141853086254,0.0015990895042648176,-0.5〜0%
2025-09-26,0.0012129871150370055,-0.003988125993406339,0〜+0.5%
2025-09-29,-0.008004032811596475,0.0016172891938970682,-1〜-0.5%
2025-09-30,0.000659820716040476,0.0006986780424314376,0〜+0.5%
2025-10-01,-0.010366086430487852,0.0033355317203417477,-2〜-1%
2025-10-02,-0.009028245772635838,0.004014702202006769,-1〜-0.5%
2025-10-03,0.008131365903315133,0.0020722665513006385,+0.5〜+1%
2025-10-06,0.000769197801619045,0.003075203608326184,0〜+0.5%
2025-10-07,-5.106196028782152e-05,-0.004715218664421162,-0.5〜0%
2025-10-08,0.005157854423463418,-0.002128807125954485,+0.5〜+1%
2025-10-09,-0.003780779558772519,0.0034902261130478947,-0.5〜0%
2025-10-10,-0.011027898707447407,-0.0029166549895128864,-2〜-1%
2025-10-14,0.004927561324674588,-0.011342949960912129,0〜+0.5%
2025-10-15,0.010813107513274365,0.003562809795092242,+1〜+2%
2025-10-16,-0.004198604648120206,0.0029777223112215463,-0.5〜0%
2025-10-17,0.00044100756744594303,-0.002870395669577649,0〜+0.5%
2025-10-20,0.0035887765530316002,0.003467491991501694,0〜+0.5%
2025-10-21,0.0012124878313726736,-0.008525692150638722,0〜+0.5%
2025-10-22,0.004042580470331552,0.002981981289569399,0〜+0.5%
2025-10-23,0.0010601042921197612,0.00205498759392296,0〜+0.5%
2025-10-24,0.003121361108026355,-0.0018891893497811822,0〜+0.5%
2025-10-27,0.002843508200082008,-0.00022040388839247713,0〜+0.5%
2025-10-28,-0.004035234764821503,-0.007317245747907075,-0.5〜0%
2025-10-29,-0.002956185354330526,-0.0046246985654809615,-0.5〜0%
2025-10-30,0.006251340861971522,0.0032474950269552327,+0.5〜+1%
2025-10-31,-0.0009995849280647773,0.007387015464024055,-0.5〜0%
2025-11-04,0.004077303977490714,-0.009959831275615356,0〜+0.5%
2025-11-05,-0.025332679973200444,0.01996974541778615,-3〜-2%
2025-11-06,-0.0008860166678654917,0.0042784603062183384,-0.5〜0%
2025-11-07,-0.005819717443807552,0.011217738074962184,-1〜-0.5%
2025-11-10,-0.0026860400264261137,0.0024471937456310624,-0.5〜0%
2025-11-11,-0.004615844056267361,-0.0031654686653065337,-0.5〜0%
2025-11-12,0.008250096385948716,0.0016143566437896524,+0.5〜+1%
2025-11-13,0.006234466930583954,0.0020887338538234748,+0.5〜+1%
2025-11-14,0.0062959832291045875,0.0037709296139866594,+0.5〜+1%
2025-11-17,-0.0013092618617301084,0.004852045148099236,-0.5〜0%
