date,morning_vol,fwd_bps,med20,vol_ratio,sym
2025-04-10,1963900.0,33.30866025166523,,,5713.T
2025-04-11,1552000.0,197.38090719301658,,,5713.T
2025-04-14,1181100.0,78.61354296944789,,,5713.T
2025-04-15,1128800.0,-141.2626438786191,1526450.0,0.7394935962527432,5713.T
2025-04-16,918800.0,-173.8672286617493,1500900.0,0.6121660337131055,5713.T
2025-04-17,1484100.0,13.605442176871652,1399350.0,1.0605638332082752,5713.T
2025-04-18,1017400.0,42.93262879788706,1484100.0,0.6855333198571525,5713.T
2025-04-21,577700.0,142.06919605548984,1390950.0,0.41532765376181746,5713.T
2025-04-22,1042400.0,111.11111111111072,1297800.0,0.8032054245646478,5713.T
2025-04-23,1508800.0,-147.24310776942363,1239450.0,1.217314131267901,5713.T
2025-04-24,1414000.0,-183.40068386695663,1297800.0,1.0895361380798274,5713.T
2025-04-25,831800.0,15.571473061350982,1355900.0,0.6134670698429088,5713.T
2025-04-28,600400.0,62.57822277847325,1297800.0,0.46262906457081215,5713.T
2025-04-30,1005900.0,-28.213166144200883,1239450.0,0.8115696478276655,5713.T
2025-05-01,786900.0,-82.35666772252182,1239450.0,0.6348783734721045,5713.T
2025-05-02,484200.0,-3.209242618742447,1239450.0,0.39065714631489773,5713.T
2025-05-07,854400.0,-78.83948281299236,1154950.0,0.7397722845144812,5713.T
2025-05-08,557400.0,51.06926268751977,1085600.0,0.513448784082535,5713.T
2025-05-09,585400.0,-47.393364928910444,1029900.0,0.568404699485387,5713.T
2025-05-12,1866200.0,176.05633802816988,1011650.0,1.844709138536055,5713.T
2025-05-13,2038400.0,33.5672871528847,1011650.0,2.0149261108090744,5713.T
2025-05-14,995800.0,207.23785957315278,1011650.0,0.9843325260712698,5713.T
2025-05-15,1145900.0,40.460628695921926,1000850.0,1.144926812209622,5713.T
2025-05-16,985400.0,-24.683739586547347,1000850.0,0.9845631213468552,5713.T
2025-05-19,761000.0,-161.84251478369106,990600.0,0.7682212800323036,5713.T
