date,open_px,open_vol,gap_bps,fwd_bps,med20,vol_ratio,sym,gap_dir,vol_dir,quad
2026-02-13,25800.0,642400.0,-73.10504040015431,286.82170542635663,464250.0,1.3837372105546581,5706.T,DG,HV,DG_HV
2026-02-18,27180.0,700500.0,-101.96649672250535,491.16997792494567,513050.0,1.3653639996101745,5706.T,DG,HV,DG_HV
2026-02-20,29900.0,1254000.0,75.82139848357095,464.88294314381176,513050.0,2.4442062177175714,5706.T,UG,HV,UG_HV
2026-02-25,33040.0,760800.0,0.0,817.1912832929773,513050.0,1.482896403859273,5706.T,DG,HV,DG_HV
2026-03-02,36600.0,483800.0,-83.9880791113523,568.3060109289628,513050.0,0.9429880128642433,5706.T,DG,LV,DG_LV
2026-03-03,38720.0,794500.0,10.341261633919352,-668.9049586776863,513050.0,1.5485820095507261,5706.T,UG,HV,UG_HV
2026-03-26,31980.0,355600.0,110.65444198545605,-340.8380237648534,513050.0,0.6931098333495761,5706.T,UG,LV,UG_LV
2026-04-06,31520.0,422100.0,0.0,139.59390862944065,513050.0,0.8227268297436897,5706.T,DG,LV,DG_LV
2026-04-07,31620.0,329600.0,-106.38297872340385,-22.137887413029578,501700.0,0.656966314530596,5706.T,DG,LV,DG_LV
2026-04-09,34320.0,489000.0,-194.28571428571462,131.11888111888126,488400.0,1.0012285012285012,5706.T,DG,LV,DG_LV
2026-04-10,35390.0,383400.0,178.3146390566581,511.44391070923945,486400.0,0.7882401315789473,5706.T,UG,LV,UG_LV
2026-04-13,36500.0,554800.0,-188.17204301075253,-19.178082191780852,486400.0,1.140625,5706.T,DG,LV,DG_LV
2026-04-16,36000.0,433700.0,86.85906416363132,486.1111111111116,491000.0,0.8832993890020366,5706.T,UG,LV,UG_LV
2026-04-17,37490.0,253700.0,-68.87417218543024,-264.07041877834047,491000.0,0.5167006109979634,5706.T,DG,LV,DG_LV
2026-04-20,36210.0,209900.0,-79.452054794521,-201.60176746755076,486400.0,0.4315378289473684,5706.T,DG,LV,DG_LV
2025-04-28,3216.0,229500.0,0.0,0.0,418050.0,0.5489773950484392,5713.T,DG,LV,DG_LV
2025-04-30,3273.0,558500.0,177.23880597015017,-281.08768713718257,389500.0,1.4338896020539154,5713.T,UG,HV,UG_HV
2025-05-01,3131.0,367200.0,-157.1832756994651,0.0,418050.0,0.8783638320775027,5713.T,DG,LV,DG_LV
2025-05-02,3137.0,195900.0,19.163206643244557,-70.13069811922179,389500.0,0.5029525032092427,5713.T,UG,LV,UG_LV
2025-05-08,3094.0,340900.0,-165.28925619834655,177.76341305753007,387450.0,0.8798554652213189,5713.T,DG,LV,DG_LV
2025-05-09,3208.0,349200.0,187.36106700539824,-180.7980049875313,385400.0,0.9060716139076285,5713.T,UG,LV,UG_LV
2025-05-12,3161.0,979700.0,34.920634920634356,56.944005061689836,376300.0,2.603507839489769,5713.T,UG,HV,UG_HV
2025-05-13,3250.0,1006500.0,223.34067316766237,116.92307692307668,385400.0,2.611572392319668,5713.T,UG,HV,UG_HV
2025-05-14,3277.0,550700.0,-33.45498783455025,70.18614586512095,387450.0,1.4213446896373725,5713.T,DG,HV,DG_HV
2025-05-16,3190.0,335600.0,-111.59330440173588,134.79623824451448,389500.0,0.8616174582798459,5713.T,DG,LV,DG_LV
2025-05-19,3225.0,235900.0,-24.744819053510447,-198.44961240310099,387450.0,0.6088527551942186,5713.T,DG,LV,DG_LV
2025-05-21,3200.0,188300.0,155.5061885115827,168.74999999999974,376300.0,0.5003986181238373,5713.T,UG,LV,UG_LV
2025-05-23,3230.0,237700.0,27.941633033219393,102.1671826625381,376300.0,0.6316768535742758,5713.T,UG,LV,UG_LV
2025-05-26,3300.0,351900.0,113.39258351210634,166.66666666666606,358200.0,0.9824120603015075,5713.T,UG,LV,UG_LV
2025-05-27,3377.0,352800.0,65.57377049180246,103.64228605270975,350550.0,1.006418485237484,5713.T,UG,LV,UG_LV
2025-05-28,3342.0,714100.0,-205.158264947245,-173.54877318970674,350550.0,2.0370845813721297,5713.T,DG,HV,DG_HV
2025-05-29,3282.0,267900.0,-6.090133982947776,164.5338208409508,352350.0,0.7603235419327373,5713.T,DG,LV,DG_LV
2025-05-30,3328.0,256200.0,-23.980815347721673,24.038461538462563,350550.0,0.7308515190415062,5713.T,DG,LV,DG_LV
2025-06-02,3283.0,354800.0,-158.8729016786572,-48.73591227535834,345050.0,1.0282567743805247,5713.T,DG,LV,DG_LV
2025-06-03,3297.0,290000.0,91.82736455463747,69.76038823172547,345050.0,0.8404579046514998,5713.T,UG,LV,UG_LV
2025-06-04,3351.0,214900.0,93.37349397590344,23.873470605788594,345050.0,0.6228082886538183,5713.T,UG,LV,UG_LV
2025-06-05,3315.0,255100.0,-130.99136647811815,102.5641025641022,345050.0,0.7393131430227503,5713.T,DG,LV,DG_LV
2025-06-06,3340.0,299200.0,-26.87369363989278,89.82035928143617,338250.0,0.8845528455284553,5713.T,DG,LV,DG_LV
2025-06-09,3389.0,229400.0,56.37982195845659,-82.6202419592803,317400.0,0.7227473219911783,5713.T,UG,LV,UG_LV
2025-06-10,3417.0,285500.0,166.61707825052164,-193.15188762071944,317400.0,0.8994959042218021,5713.T,UG,LV,UG_LV
2025-06-11,3347.0,189000.0,-11.936735302894297,38.840752913056335,294600.0,0.6415478615071283,5713.T,DG,LV,DG_LV
2025-06-12,3361.0,361800.0,2.976190476191576,-47.60487950014824,287750.0,1.257341442224153,5713.T,UG,LV,UG_LV
2025-06-13,3352.0,438600.0,20.926756352765974,-35.79952267303121,287750.0,1.5242397914856647,5713.T,UG,HV,UG_HV
