symbol,name,threshold,direction,exit,n,mean,wr,pf,sharpe
5713.T,住友金属鉱山,2.0,long,10:00,5,1.0458761651719994,80.0,23.576238715139738,21.768356377324555
5713.T,住友金属鉱山,2.0,long,11:30,5,1.1082198307230895,80.0,7.870309930925315,13.492420422074334
5713.T,住友金属鉱山,2.0,long,13:00,5,1.5999959181011492,80.0,11.772193880147103,14.08063728597056
5713.T,住友金属鉱山,2.0,long,15:30,5,2.077798318385917,60.0,51.88988523047487,16.794016826610005
5713.T,住友金属鉱山,2.0,short,09:30,5,-1.0209593280926699,20.0,0.06846767302697053,-19.495294109126686
5713.T,住友金属鉱山,2.0,short,10:00,5,-1.1258761651719995,20.0,0.026229325078068858,-23.433437357441903
5713.T,住友金属鉱山,2.0,short,11:30,5,-1.1882198307230896,20.0,0.1089635368079922,-14.466409159545009
5713.T,住友金属鉱山,2.0,short,13:00,5,-1.6799959181011492,20.0,0.07311904752123496,-14.784670946390458
5713.T,住友金属鉱山,2.0,short,15:30,5,-2.1577983183859173,20.0,0.007738933526400875,-17.44062498594882
5706.T,三井金属,0.5,long,09:30,91,-0.1248159624675113,51.64835164835166,0.6732635015416666,-2.087445565749252
5706.T,三井金属,0.5,long,10:00,91,-0.13974644914272688,46.15384615384615,0.7048856948353159,-1.9788305479071953
5706.T,三井金属,0.5,long,11:30,91,-0.16407917098340158,42.857142857142854,0.6792524782864504,-2.3045836450745307
5706.T,三井金属,0.5,long,13:00,91,-0.06990340306325288,41.75824175824176,0.8666953481108387,-0.8354494131797547
5706.T,三井金属,0.5,long,15:30,91,0.030802764629049746,49.45054945054945,1.0611655778710691,0.3543751204477327
5706.T,三井金属,0.5,short,09:30,91,0.04481596246751127,45.05494505494506,1.149496042052328,0.749510561615402
5706.T,三井金属,0.5,short,10:00,91,0.05974644914272683,51.64835164835166,1.1607863586459175,0.8460186245724348
5706.T,三井金属,0.5,short,11:30,91,0.08407917098340156,53.84615384615385,1.2196253104294419,1.1809389405031427
