,D_strong,D_freq,B,Combined
2026-03-24,0.0,0.0,-37.67988128047438,-9.419970320118596
2026-03-25,0.0,3.7491047450854467,72.68952869979773,19.109658361220795
2026-03-26,-71.46190725491198,70.77169600936428,85.87454836576327,3.430607466325899
2026-03-27,0.0,110.79900999073946,436.1817260597869,136.7451840126316
2026-03-30,0.0,0.0,235.43475909303638,58.858689773259094
2026-03-31,0.0,0.0,-362.0445486518173,-90.51113716295433
2026-04-01,295.5689671251965,84.97126364022552,0.0,169.02729947265462
2026-04-03,0.0,-57.21073787415437,-45.091700819859014,-25.575609673503344
2026-04-07,0.0,0.0,7.942418439079397,1.9856046097698492
2026-04-08,0.0,0.0,-8.0,-2.0
2026-04-09,155.12212459269045,137.4841363149988,10.668437859257647,114.59920583990935
2026-04-10,0.0,0.0,-26.69056031664207,-6.672640079160518
2026-04-14,0.0,0.0,-83.37503474784157,-20.843758686960392
2026-04-15,0.0,-500.82391150881347,-30.503941679291593,-132.83196329702628
2026-04-16,0.0,0.0,-46.21707747073873,-11.554269367684682
2026-04-17,0.0,0.0,-16.141483820922055,-4.035370955230514
2026-04-21,0.0,0.0,3.6213815616924214,0.9053453904231054
