,pnl_bps
2025-10-16,-179.74639850896114
2025-10-17,119.64526091766281
2025-10-20,97.04640772160026
2025-10-21,184.491422658261
2025-10-22,100.23864458723165
2025-10-23,-50.87395773267044
2025-10-24,12.486192836314924
2025-10-27,-112.41717479359113
2025-10-28,15.612772141072375
2025-10-29,-400.2747994950808
2025-10-30,-93.77478900736234
2025-10-31,360.03480041500694
2025-11-04,342.224966941993
2025-11-05,-230.4639666630619
2025-11-06,106.89528586779076
2025-11-07,15.609374200953095
2025-11-10,7.54567147177565
2025-11-11,351.782766940369
2025-11-12,93.29467090512856
2025-11-13,-149.3139048548131
2025-11-14,-75.68300060933652
2025-11-18,-363.34253733015044
2025-11-19,-30.48211995795591
2025-11-20,170.69169276342546
2025-11-21,-88.13414854296651
2025-11-25,10.266669324438658
2025-11-27,-86.2873973615219
2025-11-28,74.5486188383422
2025-12-01,252.8834791411869
2025-12-03,-47.85285590563926
2025-12-04,-223.3118263486671
2025-12-05,28.499115804057517
2025-12-08,-16.609075098795277
2025-12-09,-105.6866176380402
2025-12-11,80.46878897456257
2025-12-12,-77.58429027537228
2025-12-15,-109.13547171616233
2025-12-16,-166.052310612574
2025-12-17,147.7900163969186
2025-12-18,143.96488434515265
2025-12-19,-38.70797814579818
2025-12-22,-169.50024920479123
2025-12-23,-11.218839963315073
2025-12-24,-106.59374658803577
2025-12-30,56.471830222869286
2026-01-05,-198.1557184712752
2026-01-06,8.958569960464189
2026-01-07,60.61861962622195
2026-01-08,-196.33205477907413
2026-01-09,154.76179875083852
2026-01-13,156.91512720416935
2026-01-14,-242.24493138924032
2026-01-15,206.39321809461552
2026-01-16,88.72542327948696
2026-01-19,-39.70149916989717
2026-01-20,77.94580424287844
2026-01-21,422.3516927726525
2026-01-22,-79.94257707395147
2026-01-26,0.9224103338680948
2026-01-27,330.3318350047828
2026-01-28,-19.94660312443505
2026-01-29,477.7365486862788
2026-02-02,-229.43544184269112
2026-02-03,-89.4450775011406
2026-02-04,41.98817935655597
2026-02-05,-47.90862263518835
2026-02-09,74.82253128689777
