code,name,sig_date,entry,gross_ret,net_ret,reason,exit_day,year
83590,八十二長野銀行,2024-11-07,914.1,6.399737446668863,6.299737446668863,TIME,5,2024
83770,ほくほくフィナンシャルグループ,2024-11-07,1747.0,-0.2003434459072695,-0.30034344590726947,TIME,5,2024
84100,セブン銀行,2024-11-07,324.7,3.664921465968596,3.5649214659685957,TIME,5,2024
84110,みずほフィナンシャルグループ,2024-11-07,3442.0,2.5857059848924946,2.4857059848924945,TIME,5,2024
84180,山口フィナンシャルグループ,2024-11-07,1625.0,-0.7692307692307665,-0.8692307692307665,TIME,5,2024
85240,北洋銀行,2024-11-07,427.0,-0.7025761124121788,-0.8025761124121787,TIME,5,2024
58310,しずおかフィナンシャルグループ,2024-11-08,1355.5,0.184433788270022,0.08443378827002199,TIME,5,2024
58320,ちゅうぎんフィナンシャルグループ,2024-11-08,1602.0,-1.2484394506866447,-1.3484394506866448,TIME,5,2024
58380,楽天銀行,2024-11-08,3552.0,12.302927927927932,12.202927927927933,TIME,5,2024
83410,七十七銀行,2024-11-08,1453.3,1.4449872703502287,1.3449872703502286,TIME,5,2024
83590,八十二長野銀行,2024-11-08,912.9,6.101434987402787,6.001434987402788,TIME,5,2024
84100,セブン銀行,2024-11-08,316.3,6.386342080303509,6.286342080303509,TIME,5,2024
58310,しずおかフィナンシャルグループ,2024-11-11,1380.5,-0.905469032959072,-1.005469032959072,TIME,5,2024
73370,ひろぎんホールディングス,2024-11-11,1170.0,-3.4188034188034178,-3.518803418803418,TIME,5,2024
83540,ふくおかフィナンシャルグループ,2024-11-11,3974.0,3.8500251635631644,3.7500251635631643,TIME,5,2024
84180,山口フィナンシャルグループ,2024-11-11,1601.0,0.8744534665833914,0.7744534665833914,TIME,5,2024
58310,しずおかフィナンシャルグループ,2024-11-12,1349.5,-0.07410151908113782,-0.17410151908113783,TIME,5,2024
58380,楽天銀行,2024-11-12,3900.0,2.1282051282051295,2.0282051282051294,TIME,5,2024
71670,めぶきフィナンシャルグループ,2024-11-12,663.6,-1.3863773357444265,-1.4863773357444265,TIME,5,2024
71890,西日本フィナンシャルホールディングス,2024-11-12,1915.0,3.0287206266318645,2.9287206266318644,TIME,5,2024
73370,ひろぎんホールディングス,2024-11-12,1145.5,0.698384984722833,0.598384984722833,TIME,5,2024
83310,千葉銀行,2024-11-12,1219.5,-0.45100451004510544,-0.5510045100451054,TIME,5,2024
83540,ふくおかフィナンシャルグループ,2024-11-12,3862.0,7.457276022786119,7.357276022786119,TIME,5,2024
83580,スルガ銀行,2024-11-12,1030.0,-0.0970873786407811,-0.1970873786407811,TIME,5,2024
83770,ほくほくフィナンシャルグループ,2024-11-12,1730.0,2.7167630057803427,2.6167630057803426,TIME,5,2024
84180,山口フィナンシャルグループ,2024-11-12,1620.0,0.7716049382715973,0.6716049382715973,TIME,5,2024
58380,楽天銀行,2024-11-13,3815.0,4.508519003931855,4.408519003931855,TIME,5,2024
83090,三井住友トラストグループ,2024-11-13,3650.0,-0.136986301369868,-0.236986301369868,TIME,5,2024
71800,九州フィナンシャルグループ,2024-11-14,732.7,-0.027296301351176222,-0.12729630135117623,TIME,5,2024
58440,京都フィナンシャルグループ,2024-11-15,2328.0,-2.620274914089349,-2.720274914089349,TIME,5,2024
71860,横浜フィナンシャルグループ,2024-11-15,895.0,-1.2849162011173143,-1.3849162011173144,TIME,5,2024
73370,ひろぎんホールディングス,2024-11-15,1134.0,1.2786596119929383,1.1786596119929382,TIME,5,2024
83060,三菱ＵＦＪフィナンシャル・グループ,2024-11-15,1830.5,-0.3004643540016394,-0.4004643540016394,TIME,5,2024
83080,りそなホールディングス,2024-11-15,1241.5,0.48328634716068297,0.383286347160683,TIME,5,2024
83090,三井住友トラストグループ,2024-11-15,3658.0,2.3236741388737103,2.2236741388737102,TIME,5,2024
83160,三井住友フィナンシャルグループ,2024-11-15,3615.0,1.327800829875514,1.2278008298755139,TIME,5,2024
83340,群馬銀行,2024-11-15,1017.0,3.048180924287114,2.9481809242871138,TIME,5,2024
85240,北洋銀行,2024-11-15,441.0,-0.45351473922902175,-0.5535147392290217,TIME,5,2024
58440,京都フィナンシャルグループ,2024-11-18,2290.5,0.43658589827548777,0.3365858982754878,TIME,5,2024
83540,ふくおかフィナンシャルグループ,2024-11-18,4151.0,0.6504456757407961,0.5504456757407962,TIME,5,2024
58310,しずおかフィナンシャルグループ,2024-11-19,1335.0,-0.524344569288393,-0.624344569288393,TIME,5,2024
83040,あおぞら銀行,2024-11-20,2466.0,-2.9602595296025935,-3.0602595296025936,TIME,5,2024
83040,あおぞら銀行,2024-11-25,2415.0,2.712215320910971,2.612215320910971,TIME,5,2024
84110,みずほフィナンシャルグループ,2024-11-25,3791.0,2.3212872592983436,2.2212872592983435,TIME,5,2024
83580,スルガ銀行,2024-12-03,1063.0,0.18814675446847673,0.08814675446847672,TIME,5,2024
83660,滋賀銀行,2024-12-03,775.0,0.2580645161290418,0.1580645161290418,TIME,5,2024
58300,いよぎんホールディングス,2024-12-13,1519.0,-1.6787360105332438,-1.778736010533244,TIME,5,2024
85240,北洋銀行,2024-12-19,458.0,-0.6550218340611313,-0.7550218340611313,TIME,5,2024
58320,ちゅうぎんフィナンシャルグループ,2024-12-20,1590.0,3.301886792452824,3.201886792452824,TIME,5,2024
58380,楽天銀行,2024-12-20,4410.0,1.4965986394557929,1.3965986394557928,TIME,5,2024
58440,京都フィナンシャルグループ,2024-12-20,2217.0,4.6459179070816425,4.545917907081643,TIME,5,2024
83060,三菱ＵＦＪフィナンシャル・グループ,2024-12-20,1774.0,3.297632468996614,3.197632468996614,TIME,5,2024
83080,りそなホールディングス,2024-12-20,1106.5,3.840939900587448,3.7409399005874477,TIME,5,2024
