date,09:00寄成(元検証),09:05,09:10,09:20,09:30
2024-10-16,-0.001645759694049129,0.008415658503647184,0.00881831873752388,0.002795294733074027,0.0035872690082608106
2024-10-30,0.04495236095166031,,-0.008365714292159187,0.0017769438805797931,0.009636679661014844
2024-10-31,0.008831371884280287,,0.0058674808768519925,0.00730399864706833,0.007116327682739199
2024-11-01,-0.00473672099963858,-0.010726947951915646,-0.007814173059410099,-0.010252062593138026,-0.012823579060305096
2024-11-05,0.01711844829561616,,0.0012464285983192444,-0.0009679889637657972,-0.0013285095519286502
2024-11-06,-0.019437841237279218,-0.0562269956186094,-0.05814483349101985,-0.024154976453871987,-0.018679199942951707
2024-11-07,0.045019672984831345,,-0.004164414620932715,0.015882502159169563,0.026853018504972456
2024-11-08,-0.020217414039293623,,-0.06019920748968911,-0.03574417421935363,-0.02894545734684673
2024-11-11,-0.007393306166077381,,-0.002141190958698002,-0.002337658268735544,0.010334266679245242
2024-11-12,0.03585959964171298,,-0.017386778527586463,0.022823265727337956,0.015742650984336425
2024-11-13,-0.0013186195101541772,,0.03138580040948914,0.01572269849223573,-0.0010419465679025893
2024-11-14,0.007338223145077986,,0.05141094540319413,0.030607833122244663,0.016498376423338613
2024-11-15,0.018545409175237487,,0.00030798633118158736,-0.025040878033097878,-0.021952674989847903
2024-11-18,0.05079809103640839,0.04995075030861003,0.017537354917379167,0.026554482872496604,0.023294022260608015
2024-11-25,0.06182738949482452,0.0643419607432471,0.01419535512116108,0.047807794815413106,0.0691451914212394
2024-11-26,0.061116711451392934,0.038915586815380085,0.038392241565980985,0.02658947291913214,0.0219759377884633
2024-11-27,-0.05008463561990546,0.0022419450309599472,-0.04473821618702091,-0.0346407053664406,-0.03245175354106903
2024-11-28,0.0018658739534423993,,-0.03203278449268924,0.02480832471076522,0.02373422964800165
2024-12-02,-0.03886289683620323,,-0.04660589491746334,-0.038615779620176385,-0.04464692814747501
2024-12-03,0.05404868997235015,0.07828602272344734,0.059396962978730185,0.04871518459042377,0.04525350970283774
2024-12-05,-0.014801940923364098,,-0.010929753279206882,-0.019411107042546952,-0.0122513203089745
2024-12-12,0.03691440852030257,0.060404993610772534,0.03448504591006187,0.017185893078592335,0.011606657394733532
2024-12-18,0.08298156478788943,,,0.09543684949962772,0.06000285727928898
2024-12-19,-0.0007848251582759331,-0.006981228046864035,-0.007424709184813667,-0.004949212218700551,-0.007195953997305373
2024-12-20,-0.027617798345220382,-0.09956796952010935,-0.11314442678075155,-0.08910784838831695,-0.037980687442983864
2024-12-23,-0.01263402718868798,,-0.0020243432436443053,0.007248663545492867,-0.009294187133349854
2025-01-06,0.054075687218783496,0.10837366893795844,0.019471719968434366,0.014160757953692897,0.02437094957030351
2025-01-07,-0.005719067233171315,0.007720519215947042,-0.0022503661155091385,0.0017714822349153372,0.005335218796006701
2025-01-08,-0.04229372493168319,,-0.03825136310619224,-0.054745545703291466,-0.016196792727271418
2025-01-14,-0.019929128973550043,-0.04451972556223425,0.030754367054543454,-0.018531799361514913,8.457926188196044e-05
