,ped
2017-12-15,0.009019422249538977
2017-12-18,-0.0068991473812423315
2017-12-20,-0.015869515669515687
2017-12-21,-0.006909799304138545
2017-12-22,-0.0039617363701686704
2017-12-25,0.00995744032503818
2017-12-28,-0.05610717299578063
2017-12-29,0.014124423882681526
2018-01-04,0.009493101334576023
2018-01-05,0.0017044366421655713
2018-01-09,-0.00209210272069251
2018-01-10,-0.006277948461243835
2018-01-11,-0.006924030651405817
2018-01-12,-0.021765044063832784
2018-01-19,0.010350794299845069
2018-01-22,-0.002643523903460665
2018-01-23,0.005764307517874835
2018-01-24,-0.007617757600199081
2018-01-25,-0.006428211649924361
2018-01-26,-0.005404636564703077
2018-01-29,0.0006900255341187846
2018-01-30,-0.010240036937486216
2018-01-31,-0.005507417562049752
2018-02-01,0.014837824688319838
2018-02-02,-0.0007658873611878737
2018-02-05,-0.016524225418847308
2018-02-06,-0.025386902996854838
2018-02-07,-0.016670614726407813
2018-02-08,0.010845419390515051
2018-02-09,-0.01160479756296996
2018-02-13,-0.007885448800784381
2018-02-14,-0.004152334488725776
2018-02-15,0.003922650965871987
2018-02-16,0.018207362945177975
2018-02-27,-0.006061762965884419
2018-02-28,-0.010556095090639978
2018-03-01,-0.016297749969533492
2018-03-02,0.002218015667142837
2018-03-05,-0.007080610021786504
2018-03-06,0.005485463521667677
2018-03-07,-0.0102542534500635
2018-03-08,-0.0028038135262132232
2018-03-09,0.00047772887546886425
2018-03-12,-0.01057068568818028
2018-03-13,0.018939267357428437
2018-03-14,0.01699576719576721
2018-03-15,0.023207022106632037
2018-03-20,-0.02575410691003912
2018-03-22,0.011238961734011177
2018-03-23,-0.026991267531092933
2018-03-26,-0.02141294533587159
2018-03-27,0.0020709724303946465
2018-03-28,0.004531653600398755
2018-03-29,-0.006676377865770199
2018-03-30,0.0045979220623034575
2018-04-02,-0.011290982024818819
2018-04-03,0.025048291479259337
2018-04-04,0.007148730474638405
2018-04-05,0.007109556347736687
2018-04-06,-0.0021759481301098565
2018-04-09,0.004627029842924893
2018-04-10,-0.003434778283817111
2018-04-11,-0.02350038447391575
2018-04-12,0.0013030087639601562
2018-04-13,-0.004184100418409997
2018-04-16,-0.010504201680672232
2018-04-17,-0.008559872611464979
2018-04-18,0.03336963493101984
2018-04-19,-0.012292805073162542
2018-04-20,0.004294561576669998
2018-04-23,-0.00032498963796804604
2018-04-24,0.01311746549048584
2018-04-25,-0.004639682174534201
2018-04-26,0.00045015549220031424
2018-04-27,0.0008999005445434824
2018-05-01,2.4431542532836958e-05
2018-05-02,0.0016803247905068104
2018-05-07,-0.0017523101331528468
2018-05-08,0.0009205859565887003
2018-05-09,-0.00410458141352309
2018-05-10,0.0011388658886334307
2018-05-11,0.008396536485630502
2018-05-14,0.00382049722804192
2018-05-15,-0.0028322706243183713
2018-05-16,0.0004294201303616241
2018-05-17,0.008320701318610606
2018-05-18,0.0037018952062430666
2018-05-28,-0.006896428571428603
2018-05-29,-0.004680316759668231
2018-05-30,3.853771840257587e-05
2018-05-31,0.00873268551445482
2018-06-01,0.007792207792207684
2018-06-04,0.007243051245003146
2018-06-05,-0.05155392945480243
2018-06-06,-0.0021477506584077323
2018-06-07,0.012633518072570309
2018-06-08,0.02460462046204619
2018-06-11,-0.003193462097129169
2018-06-12,0.004699118022004157
2018-06-13,0.0006180469715697523
2018-06-14,-0.008029647930821504
2018-06-15,0.003535990037359915
2018-06-26,-0.03332075704587525
2018-06-27,0.04944539007092195
2018-06-28,0.01520616246498594
2018-06-29,0.0007261240404532908
2018-07-02,-0.02407251683280487
2018-07-03,-0.00945816435761242
2018-07-04,-0.008777731546375199
2018-07-05,-0.019523671497584515
2018-07-06,-0.001501899859889465
2018-07-09,0.0012136111313311559
2018-07-10,-0.008286111984638066
2018-07-11,-0.012618718371343145
2018-07-12,0.0217780219780219
2018-07-13,-0.0037842293906810375
2018-07-23,-0.00288696820420955
2018-07-24,-0.0071317574480578945
2018-07-25,-0.0034825624261928846
2018-07-26,0.00244837286113286
2018-07-27,0.0032115996127444445
2018-07-30,-0.009119951181677678
2018-07-31,-0.007584944157300775
2018-08-01,-0.002112081050675194
2018-08-02,-0.00893189524313337
2018-08-03,-0.007168232238264849
2018-08-06,-0.00929306035792318
2018-08-07,0.000784129666075071
2018-08-08,-0.0012016568137098052
2018-08-09,-0.004198719353025168
2018-08-10,-0.02619615491953233
2018-08-13,-0.032458064516129
2018-08-28,0.001261731603251803
2018-08-29,0.0006164140817202296
2018-08-30,0.013107984790874582
2018-08-31,0.00730469043151969
2018-09-04,-0.0038506599269867658
2018-09-05,0.001772942502818542
2018-09-07,0.020087404902789464
2018-09-10,-0.003514001657000798
2018-09-11,0.04051661237785018
2018-09-12,-0.006459780907668211
2018-09-21,0.0016994124727294558
2018-09-25,-0.0020528476049648473
2018-09-26,0.012211654629691517
2018-09-27,-0.012947149114917773
2018-09-28,0.000625630511591624
2018-10-01,-0.02331862436488687
2018-10-02,-0.02809568270589208
2018-10-03,-0.011466695654959164
2018-10-04,-0.010883650568856594
2018-10-05,-0.009976137361136
2018-10-09,-0.016446305710164883
2018-10-10,0.008865163333993401
2018-10-11,-0.011959197369905807
2018-10-12,0.028992630476127858
2018-10-17,0.007020216606498298
2018-10-18,-0.013939545997610514
2018-10-19,0.009812363748822444
