price_mom20,obv_mom20,divergence,fwd_1,fwd_5,fwd_10,sym,p_sign,o_sign,quad
0.1643835616438356,22231200.0,0.24511276698473383,-0.008403361344537785,0.02184873949579824,0.02857142857142847,6857.T,P+,O+,P+O+
0.1216730038022813,6130000.0,0.2895682450560226,0.0016949152542373724,0.023728813559322104,0.057627118644067776,6857.T,P+,O-,P+O-
0.1365384615384615,20313200.0,0.20671698996022914,0.025380710659898442,0.011844331641285955,0.04906937394247035,6857.T,P+,O+,P+O+
0.15209125475285168,25337600.0,0.20320779886610818,-0.011551155115511524,0.011551155115511635,0.044554455445544594,6857.T,P+,O+,P+O+
0.12593984962406024,11222800.0,0.2601219008367306,0.015025041736226985,0.011686143572620988,0.08514190317195336,6857.T,P+,O-,P+O-
0.10144927536231885,11095200.0,0.19678050383024476,-0.006578947368421018,0.006578947368421018,0.12006578947368429,6857.T,P+,O-,P+O-
0.12476722532588447,14318400.0,0.23118078058347152,-0.009933774834437137,0.0331125827814569,0.12913907284768222,6857.T,P+,O-,P+O-
0.11775700934579447,15361600.0,0.19925560350620447,0.025083612040133874,0.03678929765886285,0.15384615384615374,6857.T,P+,O-,P+O-
0.1522556390977443,42290800.0,0.10041313880966252,-0.011419249592169667,0.03262642740619892,0.13539967373572592,6857.T,P+,O+,P+O+
0.07637655417406752,14955600.0,0.10948253119695767,0.00990099009900991,0.0726072607260726,0.15346534653465338,6857.T,P+,O-,P+O-
0.0793650793650793,16383600.0,0.10399002493765586,0.019607843137254832,0.11274509803921573,0.1143790849673203,6857.T,P+,O-,P+O-
0.0795847750865053,14783200.0,0.11846083394308643,-0.0064102564102563875,0.09294871794871784,0.08814102564102555,6857.T,P+,O-,P+O-
0.06529209621993126,-8412800.0,0.24921528514044233,0.020967741935483897,0.11290322580645151,0.06612903225806455,6857.T,P+,O-,P+O-
0.0692567567567568,-9520000.0,0.2671746282995107,0.026856240126382325,0.09952606635071093,0.05845181674565558,6857.T,P+,O-,P+O-
0.05691056910569103,-13493600.0,0.260701539564263,0.0476923076923077,0.07538461538461538,0.03076923076923066,6857.T,P+,O-,P+O-
0.15228426395939088,18483200.0,0.25210949671728855,0.001468428781204123,0.001468428781204123,-0.011747430249632873,6857.T,P+,O+,P+O+
0.12355848434925876,19600400.0,0.18327857999711306,0.011730205278592365,-0.004398826979472137,-0.011730205278592365,6857.T,P+,O+,P+O+
0.1596638655462186,40719600.0,0.12485801464402868,0.008695652173912993,-0.04202898550724643,-0.036231884057971064,6857.T,P+,O+,P+O+
0.1816638370118846,73018400.0,0.02254344179471479,0.004310344827586299,-0.03735632183908044,-0.03879310344827591,6857.T,P+,O+,P+O+
0.2755474452554745,98333600.0,0.04544477130526969,-0.024320457796852657,-0.0414878397711016,-0.03433476394849788,6857.T,P+,O+,P+O+
0.1462184873949579,72026000.0,-0.034312671415274165,-0.004398826979472137,-0.01319648093841641,-0.017595307917888547,6857.T,P+,O+,P+O+
0.1508474576271186,67319600.0,-0.008867800558484018,-0.026509572901325495,-0.007363770250368162,-0.1605301914580265,6857.T,P+,O+,P+O+
0.11844331641285955,49682800.0,-0.01930826626049653,0.013615733736762392,0.00605143721633894,-0.15128593040847205,6857.T,P+,O+,P+O+
0.10561056105610556,45309600.0,-0.03076938392541595,0.0,-0.0014925373134327957,-0.16716417910447756,6857.T,P+,O+,P+O+
0.11853088480801333,53886400.0,-0.03627483188237002,0.004477611940298498,0.00746268656716409,-0.16268656716417906,6857.T,P+,O+,P+O+
0.10690789473684204,53863200.0,-0.06619977003598787,0.0014858841010401136,-0.004457652303120341,-0.1901931649331352,6857.T,P+,O+,P+O+
0.11589403973509937,69191200.0,-0.09964435219336887,-0.013353115727002929,-0.1543026706231454,-0.22997032640949555,6857.T,P+,O+,P+O+
0.11204013377926425,68708000.0,-0.10812240854948452,0.006015037593984918,-0.15639097744360897,-0.19999999999999996,6857.T,P+,O+,P+O+
0.09135399673735733,67154000.0,-0.14702216514601718,0.008968609865470878,-0.1659192825112108,-0.2002989536621823,6857.T,P+,O+,P+O+
0.11386138613861396,88332000.0,-0.16850388997565968,-0.007407407407407418,-0.16888888888888887,-0.17333333333333334,6857.T,P+,O+,P+O+
0.09477124183006547,70934400.0,-0.15251516916292107,-0.14925373134328357,-0.18656716417910446,-0.16268656716417906,6857.T,P+,O+,P+O+
-0.08653846153846156,53704000.0,-0.5447527637990852,-0.015789473684210575,-0.08947368421052626,-0.02631578947368418,6857.T,P-,O+,P-O+
-0.0951612903225807,40010400.0,-0.4886058307325498,-0.005347593582887722,-0.05169340463458105,-0.028520499108734443,6857.T,P-,O+,P-O+
-0.11848341232227488,22004800.0,-0.4282029457294887,0.005376344086021501,-0.04121863799283154,-0.05197132616487454,6857.T,P-,O+,P-O+
-0.13692307692307693,21997200.0,-0.46112040258634845,-0.028520499108734443,-0.005347593582887722,-0.09090909090909094,6857.T,P-,O+,P-O+
-0.19970631424375918,-4576800.0,-0.3098976610370282,-0.047706422018348627,0.029357798165137616,-0.06788990825688068,6857.T,P-,O-,P-O-
-0.23900293255131966,-28414400.0,-0.18813121885904002,0.025048169556840083,0.06936416184971095,-0.013487475915221592,6857.T,P-,O-,P-O-
-0.22898550724637678,-27546800.0,-0.19112722186549594,0.005639097744360999,0.02443609022556381,-0.046992481203007475,6857.T,P-,O-,P-O-
-0.23132183908045978,-31262800.0,-0.16517837143667777,0.04299065420560755,-0.01121495327102806,-0.04859813084112152,6857.T,P-,O-,P-O-
-0.20171673819742486,-30202400.0,-0.15819980985659604,0.005376344086021501,-0.08602150537634412,-0.10035842293906805,6857.T,P-,O-,P-O-
-0.17741935483870963,-11123200.0,-0.2575084245474139,-0.010695187165775444,-0.09447415329768272,-0.12210338680926913,6857.T,P-,O-,P-O-
-0.1826215022091311,-3053200.0,-0.3109001448474622,-0.018018018018018056,-0.07747747747747746,-0.08648648648648649,6857.T,P-,O-,P-O-
-0.17549167927382758,-2129600.0,-0.31489440072473507,-0.029357798165137616,-0.06972477064220184,-0.07155963302752288,6857.T,P-,O-,P-O-
-0.21044776119402986,-21451600.0,-0.2090955246614004,-0.03591682419659736,-0.03780718336483935,-0.032136105860113395,6857.T,P-,O-,P-O-
-0.23880597014925375,-32306000.0,-0.16118535995340988,-0.0039215686274509665,-0.015686274509803977,0.01764705882352935,6857.T,P-,O-,P-O-
-0.24517087667161963,-51595200.0,-0.08882907501704819,0.007874015748031482,-0.030511811023621993,-0.007874015748031482,6857.T,P-,O-,P-O-
-0.24035608308605338,-52782400.0,-0.08533630992379332,-0.009765625,-0.009765625,-0.01953125,6857.T,P-,O-,P-O-
-0.23759398496240602,-50910400.0,-0.08783256429783823,0.0039447731755424265,-0.0019723865877712132,0.007889546351084853,6857.T,P-,O-,P-O-
-0.23916292974588937,-53190800.0,-0.08334055081856238,-0.013752455795677854,0.005893909626718985,-0.0216110019646365,6857.T,P-,O-,P-O-
-0.25629629629629624,-70711600.0,-0.04990592381322144,-0.018924302788844605,0.03386454183266929,-0.020916334661354563,6857.T,P-,O-,P-O-
-0.2649253731343284,-74520400.0,-0.04291890035390565,0.029441624365482255,0.023350253807106647,0.014213197969543234,6857.T,P-,O-,P-O-
-0.1105263157894737,-59232800.0,0.056318783878626794,-0.0019723865877712132,-0.009861932938856066,-0.0019723865877712132,6857.T,P-,O-,P-O-
-0.0980392156862745,-42736800.0,0.02936023215414557,0.011857707509881354,0.009881422924901129,0.0019762845849802257,6857.T,P-,O-,P-O-
-0.08243727598566308,-25291200.0,-0.026544915157216742,0.013671875,-0.02734375,0.015625,6857.T,P-,O-,P-O-
-0.07486631016042777,-25212800.0,-0.011582570519808266,-0.028901734104046284,-0.05298651252408482,-0.009633911368015391,6857.T,P-,O-,P-O-
-0.07522935779816509,-24213600.0,-0.013578329625039187,-0.003968253968253954,-0.008928571428571397,0.017857142857142794,6857.T,P-,O-,P-O-
