hypothesis,horizon,N,gross,net,wr,std,t_stat,sharpe
H2b_MA25-15〜-10%,5,7856,0.9097769494315161,0.8097769494315163,56.07179226069247,6.609362934329751,12.200456082359603,0.8698033538697226
H2c_MA25-10〜-5%,10,25044,1.2269571710677991,1.126957171067799,55.80977479635841,7.799994103931232,24.893558129923978,0.7252928687521462
H13a_シクリカル × 52週高値-20%超,10,34563,1.3109190777359945,1.2109190777359946,54.856349275236525,9.54247326297358,25.539985577031196,0.6370220129242529
H13a_シクリカル × 52週高値-20%超,20,34563,2.495961734315688,2.395961734315688,55.76483522842346,14.41636736884395,32.18754086412109,0.58994199085544
H2c_MA25-10〜-5%,20,25044,1.9608560062675018,1.8608560062675017,55.59814726082095,11.20407287697188,27.696291747444416,0.5895519987503357
H13a_シクリカル × 52週高値-20%超,5,34563,0.570729059314818,0.47072905931481795,52.767410236379945,6.304472258414496,16.830110342867645,0.5300752653634977
H4b_20日上昇Best10%,20,25893,2.2814490886203314,2.1814490886203317,53.33101610473874,14.777059238552976,24.843567103609978,0.5240133361871098
H4_20日上昇Best5%,20,13084,2.51121790255214,2.4112179025521403,52.33873433200856,16.488645919623284,17.420863366207794,0.5190829212589152
H10c_52週高値-20〜-10%,20,68580,1.5863461486556354,1.4863461486556355,54.28113152522601,10.164229015096627,40.871658140255704,0.5190758130905408
H8b_5日+12%超上昇(overbought),10,8510,1.3818841756597038,1.2818841756597035,51.844888366627494,12.730084805824614,10.013943271412861,0.5054960425386982
H6b_5日+10%超,10,12446,1.2915522851144179,1.191552285114418,51.614976699341156,11.900885189443052,12.107308957351302,0.502613453005115
H2c_MA25-10〜-5%,5,25044,0.48077284599907416,0.3807728459990742,54.42421338444338,5.442496966873938,13.979562583001398,0.49668728523973565
H1b_52週高値×出来高1.5x,20,5057,1.9481194634456356,1.8481194634456357,53.43088787818865,13.33812092282846,10.38645662485596,0.4918363954429528
H4b_20日上昇Best10%,10,25893,1.1222612506732978,1.0222612506732978,52.6088131927548,10.501539500898732,17.196187953215055,0.488662709904514
H10a_52週高値-30%超,10,35522,0.9855923326835415,0.8855923326835416,53.27402736332414,9.163256351985122,20.271980727605115,0.48515921159460024
H4_20日上昇Best5%,10,13084,1.1960386868444908,1.0960386868444907,51.38336900030571,11.491347514618223,11.905414945374751,0.4788011618225702
H10b_52週高値-30〜-20%,10,41522,0.8548827524220145,0.7548827524220146,53.45599922932421,8.04432894981407,21.654884199063247,0.4710748858817739
H8b_5日+12%超上昇(overbought),5,8510,0.6852434477778104,0.5852434477778107,50.78730904817861,8.98264721489282,7.037288052872936,0.46253807102869293
H9_20日高値ブレイク×出来高1.5x,20,13175,1.732375803523276,1.632375803523276,53.40417457305503,12.59177922703008,15.79175220213636,0.46017001960680776
H6a_5日+5%超,10,40477,0.9786170722942057,0.8786170722942056,52.47177409392989,9.734156120723384,20.22640220121525,0.45310786506945816
H10b_52週高値-30〜-20%,20,41522,1.5769632452990692,1.4769632452990693,53.82688695149559,11.641080193870925,27.60370784601667,0.45036193808692393
H1_52週高値ブレイク,20,12066,1.6247236619322938,1.5247236619322937,53.74606331841538,12.070843060198696,14.785076040613387,0.4483723358601652
