combo,k,n,full_sharpe,full_t,mean_bp,h1_sharpe,h2_sharpe,h2_t
ディスコ+三井金属+三菱商事+日本郵船,4,662,1.795448056925845,2.910057495496915,14.896647313957157,2.067263081249611,1.5566913332809382,1.7840878435626104
三井金属+ホンダ,2,330,1.7851042160446502,2.04277378195224,15.841095991575813,0.7834422020001369,2.4382499629097603,1.972967484857517
三井金属+トヨタ,2,345,1.7755260256677625,2.0774774561830798,15.773957327521344,0.9360109631808721,2.3470975853419263,1.944705882192909
三井金属+三菱マテ,2,395,1.7737214894252262,2.2206683617894747,15.744353373510162,1.4575721899617105,2.071519659265897,1.8362059230531402
ディスコ+三井金属+三菱電機,3,543,1.7707584430990806,2.599315314950424,16.664619103966775,2.000441504840029,1.5937780570840656,1.6558158094622397
三井金属+日本郵船,2,352,1.7676373660430056,2.089124079719293,15.540416540586953,2.5858393766841496,1.2512495975859508,1.045682919862423
ディスコ+三井金属+三菱重工+ホンダ,4,623,1.7638520274463765,2.7733577911114837,15.35957231017358,1.5690675003318133,1.937663697273708,2.1560331265350086
ディスコ+三井金属+三菱マテ+三菱重工,4,688,1.759213764848664,2.9067826760228623,15.349522463015456,1.7577135169455234,1.7761567702065733,2.075201374899174
ディスコ+三井金属+三菱重工+トヨタ,4,638,1.7590688832534536,2.7989356596632398,15.334588009424744,1.603045074040219,1.9003814796682819,2.1381386320416755
ディスコ+三井金属+三菱マテ+ホンダ,4,676,1.7563788593354492,2.87667817655084,14.50917281182503,1.0520677527307938,2.313476748196634,2.6793115650537143
ディスコ+三井金属+トヨタ+ホンダ,4,626,1.7563421064989675,2.768190726601507,14.426831495610335,0.803072483995059,2.5312781832391975,2.821056435866808
ディスコ+三井金属+三菱重工+日本郵船,4,645,1.7549464128707022,2.8076530957076034,15.211904642332911,2.0439317676594313,1.5138816753708955,1.7139293777803644
ディスコ+三井金属+日本郵船+ホンダ,4,633,1.7525327547962792,2.7775873672550775,14.311860759152944,1.5615820652989305,1.9254630216166562,2.15955636215471
ディスコ+三井金属+三菱マテ+トヨタ,4,691,1.7517536268897675,2.900759870070942,14.50456500950588,1.1490707021060866,2.235151984330474,2.6190563246589873
ディスコ+三井金属+三菱商事+アドバン,4,709,1.7484624900491945,2.932777845866875,16.528712357175195,1.825035184135993,1.6976554562644879,2.0149462231446265
ディスコ+三井金属+三菱マテ+日本郵船,4,698,1.748272149230841,2.909621385141414,14.399521154527662,1.7398559166235903,1.782866059381987,2.0981240426734584
ディスコ+三井金属+日本郵船+トヨタ,4,648,1.7475926445414771,2.8023826832230387,14.311514600800399,1.6165502276144623,1.8676930576874482,2.1177648668754854
ディスコ+ホンダ,2,281,1.7443246852264556,1.8419600915837675,12.772886968886855,0.47593563170861936,3.566047980295121,2.6674511092387623
ディスコ+三菱重工,2,293,1.736651415617658,1.8726050681888733,14.81724188402089,2.032528488204484,1.3777657306078177,1.0522859584044102
ディスコ+三菱マテ,2,346,1.7322873072027791,2.0298208174935106,13.238841455415319,1.3255125567161248,2.1776497010134626,1.804308525288509
ディスコ+トヨタ,2,296,1.731048376330081,1.8760948448307422,12.850117699432607,0.6557048534817191,3.2415779571489196,2.4842028619402026
三井金属+アドバン,2,399,1.7292825215039658,2.175966121527078,18.364669578155855,1.360266482063167,2.029795375898358,1.8082854433023043
ディスコ+日本郵船,2,303,1.7249069207302326,1.8914144757533042,12.64635704067259,1.63772178814589,1.8901431014214256,1.4679667174676234
ディスコ+三井金属+アドバン+三菱重工,4,692,1.7234338041555666,2.8559288522493826,16.8626517828068,1.710153069735081,1.7415789648553686,2.0407083879639676
ディスコ+三井金属+三菱マテ+アドバン,4,745,1.7093457373559504,2.9390554464177083,15.984083631218635,1.491047708320726,1.9014484763571593,2.313335951842452
ディスコ+三井金属+アドバン+ホンダ,4,680,1.7089470136601672,2.80726094329059,16.05394764697263,1.2748031753158229,2.0836958889188146,2.420324087531803
ディスコ+三井金属+アドバン+トヨタ,4,695,1.7060388828420383,2.8332249457485505,16.01602590031113,1.3410050858390172,2.023224599497645,2.3775707452331596
ディスコ+三井金属+三菱商事+三菱マテ+三菱重工,5,852,1.704511353786587,3.1341474561772147,14.054128762197442,1.7691248413780325,1.6689124842232186,2.1698918695888323
ディスコ+三井金属+三菱商事+三菱重工+ホンダ,5,787,1.7039684545821034,3.0112627110328853,13.955095044568901,1.4455748247723041,1.930766208795187,2.4142238164841507
