sym,name,or_min,dir,stop,n,sharpe,t,h1_sharpe,h2_sharpe,h2_t
5711.T,三菱マテ,30,short,orrange,186,0.7304113309891171,0.6275144104882241,-1.3867608993445775,1.8023738926880946,1.0949293362737023
6146.T,ディスコ,30,both,none,319,0.7274679469010267,0.818481624601305,1.5842210066982723,-0.2265415984495412,-0.1805126664474905
6146.T,ディスコ,30,short,orrange,187,0.7273059729139519,0.6265239640275174,0.14555417438840243,1.343608165042509,0.8206090283564667
9101.T,日本郵船,15,long,orrange,172,0.7155681373879823,0.5911734852336906,1.1962377948481109,0.20229787810363947,0.11817899236761427
5706.T,三井金属,60,both,orrange,309,0.708278278400423,0.7843012231427375,-0.3895855465728868,1.2261617557395963,0.9616418271570297
6503.T,三菱電機,15,both,none,329,0.6956361141395216,0.7948401543509529,1.970200733389407,-0.6066835829656344,-0.4909123350747916
5713.T,住友鉱山,15,short,orrange,202,0.6944791647253404,0.6217769743448072,2.1954609772778255,-0.14566804303828584,-0.09221991174961683
8031.T,三井物産,30,long,orrange,171,0.6820168045268595,0.5618143920588118,0.27969365396550855,0.9743463912822834,0.5691966510878094
7267.T,ホンダ,60,both,orrange,237,0.679535169828437,0.6590006477674687,-1.4930586939566712,3.056090262192206,2.100097158740006
7267.T,ホンダ,30,long,none,145,0.673778946086977,0.5110944523631166,1.2318889944906153,0.005000911185052679,0.0026915986470082433
5711.T,三菱マテ,30,long,none,200,0.6692862805224988,0.5962476084246343,-0.15935422570523652,1.1917020523306332,0.7507017303219371
8031.T,三井物産,15,long,none,185,0.6551730030453798,0.5613601602044032,-0.04789651217937722,1.1564544670068801,0.7025378735940927
5711.T,三菱マテ,15,short,none,195,0.6515797453763514,0.5731715306500255,0.11000122594181028,0.9760422405193432,0.608669276507098
5713.T,住友鉱山,60,long,none,161,0.645070586944972,0.5156083092720892,0.4824468503955378,0.7698392032670204,0.43645780314699406
7011.T,三菱重工,60,long,none,147,0.6315676650947111,0.48236777196383873,1.4287717853144337,-0.5549306383627042,-0.3007144468365747
5711.T,三菱マテ,60,long,orrange,178,0.6228701938474864,0.5234886619361695,0.7905295880633078,0.5552636436595254,0.3299848273528254
6503.T,三菱電機,15,long,orrange,195,0.6028636463292381,0.5303177107511209,2.3126635297092895,-1.0460930489717857,-0.6523536306563594
5711.T,三菱マテ,30,short,none,186,0.6016398994289236,0.5168836938839337,-1.2859954360005403,1.5520959851363818,0.9428872853367213
