label,am_q5,target,n,mean_bps,t,wr
ALL_全日_pm1,3,pm1_ret,1074,-3.8404525173425763,-1.4110480651324426,45.81005586592179
ALL_全日_pm1,4,pm1_ret,1097,-10.493670698754814,-3.316094208458612,43.482224247948956
ALL_LME+1%,0,pm_ret,194,-11.253968916433866,-1.1837065372545263,45.876288659793815
ALL_LME+1%,1,pm_ret,199,4.697994231650319,0.4172185719416733,50.25125628140703
ALL_LME+1%,2,pm_ret,241,9.532211178754409,0.816795100592416,50.20746887966805
ALL_LME+1%,3,pm_ret,209,-8.980954057088722,-0.813569815738083,52.63157894736842
ALL_LME+1%,4,pm_ret,194,-3.322509374777392,-0.3519098297745123,49.48453608247423
ALL_LME-1%,0,pm_ret,203,47.383450429590354,3.5630902206741886,59.60591133004927
ALL_LME-1%,1,pm_ret,186,-7.001372181289693,-0.8651789088188014,46.236559139784944
ALL_LME-1%,2,pm_ret,210,-7.448192077943863,-1.0577892762365175,44.761904761904766
ALL_LME-1%,3,pm_ret,217,4.386945889630188,0.6314360534738263,51.61290322580645
ALL_LME-1%,4,pm_ret,204,-13.581832906110511,-0.9840376300165957,47.549019607843135
ALL_曜日_月,0,pm_ret,196,8.745043253091495,0.6550565323655969,53.06122448979592
ALL_曜日_月,1,pm_ret,202,-6.596835185190523,-0.6877086426301051,50.495049504950494
ALL_曜日_月,2,pm_ret,217,-15.847048411244042,-1.6386787003436774,44.23963133640553
ALL_曜日_月,3,pm_ret,187,-6.716674618569798,-0.559900599529959,56.68449197860963
ALL_曜日_月,4,pm_ret,189,-16.712590620888083,-1.1872478375435083,45.5026455026455
ALL_曜日_火,0,pm_ret,253,-9.367123595034261,-0.7535173574237573,49.40711462450593
ALL_曜日_火,1,pm_ret,227,-10.866238016975851,-1.106126345197854,45.37444933920705
ALL_曜日_火,2,pm_ret,212,-3.081815029837176,-0.303926387483455,48.113207547169814
ALL_曜日_火,3,pm_ret,204,-1.5031343880072012,-0.209862205595598,48.529411764705884
ALL_曜日_火,4,pm_ret,223,-27.10757962299784,-2.5354141997591437,44.39461883408072
ALL_曜日_水,0,pm_ret,224,30.270642237348405,3.301036864275188,55.80357142857143
ALL_曜日_水,1,pm_ret,206,3.6539156129591244,0.4823875062794287,50.0
ALL_曜日_水,2,pm_ret,208,8.780615681744472,1.1385261040385422,48.55769230769231
ALL_曜日_水,3,pm_ret,228,15.742789163614233,1.7692493478893014,54.824561403508774
ALL_曜日_水,4,pm_ret,260,-1.1109429220740275,-0.13078532432990914,46.92307692307692
ALL_曜日_木,0,pm_ret,222,23.731339467886116,2.9268967507888095,56.30630630630631
ALL_曜日_木,1,pm_ret,220,8.034092067479785,1.0786026119689895,50.90909090909091
ALL_曜日_木,2,pm_ret,230,1.3041747210145513,0.166220307592161,51.73913043478261
ALL_曜日_木,3,pm_ret,251,6.836888264337347,0.9538386058998248,53.38645418326693
ALL_曜日_木,4,pm_ret,229,-25.037679615225514,-2.0711363677730854,45.414847161572055
ALL_曜日_金,0,pm_ret,221,10.299158603409174,1.181119845058643,52.488687782805435
ALL_曜日_金,1,pm_ret,253,28.1238027065135,3.6311771796096717,54.54545454545454
ALL_曜日_金,2,pm_ret,241,14.627271573921218,1.4065860547069586,50.20746887966805
ALL_曜日_金,3,pm_ret,238,5.5790699446672765,0.7172717385596965,49.159663865546214
ALL_曜日_金,4,pm_ret,209,26.88860592476786,3.3346202355840173,54.54545454545454
