label,n,mean_bps,se,t,wr,slot,sector,cond
後場後半|非鉄|木,787,-0.9374930517298478,3.3509567806589655,-0.2797687684725942,50.82592121982211,後場後半,非鉄,曜日_木
後場後半|非鉄|金,794,6.9850389386687235,1.9950950188610035,3.5011058985333294,54.53400503778337,後場後半,非鉄,曜日_金
後場後半|半導体|全日,1542,0.7622877332639832,1.6771461346912448,0.45451479599558986,47.47081712062256,後場後半,半導体,全日
後場後半|半導体|LME+1%,288,-5.376236319261682,4.691649958914398,-1.1459159072697938,46.18055555555556,後場後半,半導体,LME+1%
後場後半|半導体|LME-1%,273,0.8758382708324988,3.1050728240831864,0.282066901632525,47.25274725274725,後場後半,半導体,LME-1%
後場後半|半導体|月,276,-5.607167330957091,3.787559940957208,-1.480416790325442,45.289855072463766,後場後半,半導体,曜日_月
後場後半|半導体|火,307,-2.046421503778358,4.18067265630912,-0.4894957515245951,45.928338762214985,後場後半,半導体,曜日_火
後場後半|半導体|水,311,0.5708766432650408,3.639859560263676,0.15684029392158358,47.266881028938904,後場後半,半導体,曜日_水
後場後半|半導体|木,327,5.256776337202536,3.258168771830709,1.6134143763979554,51.07033639143731,後場後半,半導体,曜日_木
後場後半|半導体|金,321,4.531989941982921,3.845976284689735,1.1783717856046345,47.35202492211838,後場後半,半導体,曜日_金
後場後半|ALL|全日,5332,1.2741021033873678,1.0360209021971458,1.2298034727729048,49.83120780195049,後場後半,ALL,全日
後場後半|ALL|LME+1%,992,-3.817420888426788,2.8419901264097627,-1.3432210242226528,45.564516129032256,後場後半,ALL,LME+1%
後場後半|ALL|LME-1%,972,-4.176451153310105,2.6520799816880043,-1.5747832577250798,45.884773662551446,後場後半,ALL,LME-1%
後場後半|ALL|月,950,-5.149399293142255,2.9317242585703087,-1.756440524066688,49.05263157894737,後場後半,ALL,曜日_月
後場後半|ALL|火,1070,4.022738972142636,2.316855287860799,1.7362927210947712,49.7196261682243,後場後半,ALL,曜日_火
後場後半|ALL|水,1083,-0.5548822490114083,1.9439836757632754,-0.2854356525363014,46.81440443213297,後場後半,ALL,曜日_水
後場後半|ALL|木,1114,0.8807529897251704,2.5538217362168854,0.3448764560324706,50.89766606822263,後場後半,ALL,曜日_木
後場後半|ALL|金,1115,6.278824832896399,1.8005713065457774,3.4871292295231116,52.46636771300448,後場後半,ALL,曜日_金
引け前|非鉄|全日,3784,4.803643932275093,1.2058168766450694,3.9837259083984766,52.16701902748414,引け前,非鉄,全日
引け前|非鉄|LME+1%,702,4.0946754351874235,2.461880248771068,1.6632309541584815,52.56410256410257,引け前,非鉄,LME+1%
引け前|非鉄|LME-1%,698,11.524068778898922,2.491065655117115,4.626160195828772,54.297994269340975,引け前,非鉄,LME-1%
引け前|非鉄|月,671,-0.6408652108255923,2.6536150055586503,-0.24150647681865767,46.050670640834575,引け前,非鉄,曜日_月
引け前|非鉄|火,761,-3.8077478499054167,3.6801939029520483,-1.034659572380426,49.14586070959264,引け前,非鉄,曜日_火
引け前|非鉄|水,772,11.553757136132411,2.346407597407382,4.9240196583485805,57.64248704663213,引け前,非鉄,曜日_水
引け前|非鉄|木,786,5.625803671374423,2.0169994337863772,2.7891944723125084,52.926208651399484,引け前,非鉄,曜日_木
引け前|非鉄|金,794,10.281263369239834,2.486145753839503,4.135422612838313,54.15617128463476,引け前,非鉄,曜日_金
