sym,name,sector,pattern,condition,gross_n,gross_mean,gross_med,gross_std,gross_wr,gross_sharpe,net_mean,net_wr,net_sharpe
6857.T,アドバンテスト,半導体,前場→後場,前場小幅安(0〜-0.5%),31,-0.1209437942835091,-0.240847784200382,1.1892561443500713,41.935483870967744,-1.6143899889569713,-0.1609437942835091,41.935483870967744,-2.1483206460926714
6857.T,アドバンテスト,半導体,前場×曜日→後場,前場小幅安(0〜-0.5%)_月曜,5,0.8279177666015425,0.940665701881338,0.16308842403272125,100.0,80.5868790295091,0.7879177666015424,100.0,76.69340640310061
6857.T,アドバンテスト,半導体,前場×曜日→後場,前場小幅安(0〜-0.5%)_水曜,10,0.1271715885312108,0.021818728271577603,1.4153038237702658,50.0,1.4263978861738724,0.08717158853121076,50.0,0.9777448803733501
6857.T,アドバンテスト,半導体,前場×曜日→後場,前場小幅安(0〜-0.5%)_木曜,5,-0.307797449083802,-0.1167406023815043,0.8637467086698768,40.0,-5.656904944111701,-0.34779744908380206,40.0,-6.392051380308647
6857.T,アドバンテスト,半導体,前場×曜日→後場,前場小幅安(0〜-0.5%)_金曜,7,-1.0234429823248483,-0.4900181488203259,0.9634541620558394,0.0,-16.86292333726336,-1.0634429823248481,0.0,-17.521989787607577
6857.T,アドバンテスト,半導体,前場→後場,前場大幅安(<-0.5%),140,0.13713578749324973,0.22284501572600313,1.3160285609036542,55.00000000000001,1.6541914073886257,0.09713578749324969,55.00000000000001,1.1716940410552603
6857.T,アドバンテスト,半導体,前場×曜日→後場,前場大幅安(<-0.5%)_月曜,22,0.008266381143864153,0.011173688580817798,1.2693396392830782,50.0,0.10338031558594102,-0.03173361885613588,50.0,-0.3968642958674117
6857.T,アドバンテスト,半導体,前場×曜日→後場,前場大幅安(<-0.5%)_火曜,30,-0.6281800179650002,-0.11833552102447076,1.468440857424181,36.666666666666664,-6.790909273789221,-0.6681800179650002,36.666666666666664,-7.2233273119043755
6857.T,アドバンテスト,半導体,前場×曜日→後場,前場大幅安(<-0.5%)_水曜,24,0.6957388609487086,0.7905846418466367,1.5016396555722638,66.66666666666666,7.3549682709150375,0.6557388609487086,66.66666666666666,6.93211028877583
6857.T,アドバンテスト,半導体,前場×曜日→後場,前場大幅安(<-0.5%)_木曜,31,0.2742678199551902,0.28384279475981433,0.976727152144176,61.29032258064516,4.4576078957339655,0.2342678199551902,61.29032258064516,3.8074976645792864
