ma,slope,fwd_days,n_event,event_mean%,event_wr%,n_base,base_mean%,base_wr%,edge%,wr_edge%
100,all,10,355,5.129319594625967,66.7605633802817,2206,3.0147728059993764,63.41795104261106,2.1145467886265905,3.342612337670637
100,all,20,321,7.763082644926287,64.48598130841121,1999,6.334230579842301,68.68434217108555,1.4288520650839862,-4.198360862674335
100,up,1,226,1.9261186689177807,53.097345132743364,1594,0.2984275371682957,55.269761606022584,1.627691131749485,-2.1724164732792204
100,up,5,223,2.631486371032114,56.95067264573991,1557,1.4545410587462182,57.54656390494541,1.176945312285896,-0.5958912592055015
100,up,10,217,3.4751606504058152,59.44700460829493,1528,3.1356146765027315,62.17277486910995,0.3395459739030837,-2.7257702608150183
100,up,20,191,1.2401581060800395,57.068062827225134,1385,6.309206549750673,68.88086642599278,-5.069048443670633,-11.812803598767644
200,all,1,139,0.3051084145622165,59.71223021582734,1617,0.2702797861225191,53.98886827458256,0.03482862843969742,5.723361941244782
200,all,5,138,1.5193209033942954,57.971014492753625,1570,1.1172361042865018,55.22292993630573,0.4020847991077936,2.7480845564478926
200,all,10,134,2.776013852532531,67.91044776119404,1527,2.5228902810865663,58.87360838244925,0.25312357144596476,9.036839378744787
200,all,20,120,3.319173034021228,64.16666666666667,1300,3.948662439721202,62.76923076923077,-0.6294894056999736,1.397435897435905
200,up,1,74,0.23483620017827697,60.810810810810814,1366,0.27103033203373167,54.17276720351391,-0.0361941318554547,6.638043607296908
200,up,5,73,0.8456563851462774,53.42465753424658,1319,1.1734063790724505,55.19332827899924,-0.3277499939261731,-1.7686707447526615
200,up,10,70,2.0694623249013264,62.857142857142854,1281,2.4791791475241305,58.313817330210775,-0.40971682262280407,4.54332552693208
200,up,20,64,2.1608795025553587,62.5,1089,3.7218563419116633,61.98347107438016,-1.5609768393563046,0.5165289256198378
