code,last_date,adv,ret12m,ret3m,n_days
47340,2021-06-04,3420400.0,0.4046875000000001,0.0022296544035673715,103
47390,2023-11-30,1457523250.0,0.28805970149253723,-0.000926140310256951,714
47640,2022-03-29,147313500.0,-0.6962616822429907,-0.4144144144144144,302
47790,2021-01-18,26538650.0,,0.0011534025374855261,10
48370,2024-03-15,84880500.0,0.10709318497913767,-0.011180124223602483,784
49520,2021-07-28,8488500.0,0.5309168443496801,0.22945205479452047,139
49620,2022-04-25,739300.0,0.6283018867924528,0.570518653321201,321
49630,2023-12-27,24556200.0,0.983271375464684,-0.00187090739008422,733
49870,2024-03-08,4437100.0,0.7641509433962264,-0.15892053973013498,779
49990,2022-07-27,2867350.0,0.2908163265306123,0.21927710843373505,383
50080,2022-12-12,11952500.0,0.10602324762240234,0.39555555555555566,475
50730,2022-04-12,919100.0,,,277
51040,2023-06-16,626650.0,0.181159420289855,0.006172839506172867,601
52120,2024-03-18,5391600.0,0.29407236335642795,-0.008259587020648995,785
53580,2022-03-28,62471400.0,0.7850746268656716,0.0,301
53870,2022-07-26,758500.0,0.4624697336561743,-0.0016528925619834212,382
54860,2022-12-28,3026512500.0,0.022065727699530413,-0.00045913682277320955,487
56140,2021-02-16,5424650.0,0.0026041666666667407,0.0026041666666667407,30
56900,2021-09-28,218838850.0,1.2202380952380953,0.13460076045627378,180
57810,2024-04-16,9555100.0,0.04977628635346765,0.542317173377157,805
58070,2023-01-24,14312000.0,0.9441571871768355,1.5601452564684521,503
59070,2022-07-27,7040000.0,0.251891891891892,0.22023182297154897,383
59120,2021-03-29,162739200.0,0.10948905109489049,0.10948905109489049,58
59640,2022-08-19,1331300.0,1.0252025202520252,0.6222062004325883,399
59990,2023-06-09,12705800.0,0.3784159333024548,0.0013458950201883368,596
60320,2023-07-27,4595500.0,-0.05962059620596205,-0.005730659025787954,629
60640,2021-03-29,23674250.0,-0.060810810810810856,-0.060810810810810856,58
60660,2021-09-29,,,,181
60670,2023-06-28,169750500.0,0.4414125200642054,0.0011148272017837968,609
60770,2021-06-17,141055700.0,0.480840543881335,0.0008354218880535225,112
61210,2024-01-30,13132200.0,1.3261648745519712,0.0,753
61720,2023-06-28,77428200.0,0.5197255574614066,0.003397508493771184,609
61750,2022-12-15,55226550.0,1.0860465116279068,-0.00111358574610243,478
61870,2021-03-29,239686750.0,0.07571801566579639,0.07571801566579639,58
61880,2024-02-15,5096250.0,0.45734597156398094,0.0032626427406199365,764
61920,2024-01-29,9455450.0,-0.1339285714285714,0.14117647058823524,752
62050,2023-02-24,87195900.0,0.277056277056277,-0.15067178502879075,525
62710,2022-02-10,1837050.0,0.31370826010544817,-0.0020026702269693164,272
62810,2021-09-28,4286150.0,0.20319634703196354,-0.06394316163410307,180
62990,2021-10-27,39602300.0,0.555919513336453,0.170774647887324,201
63030,2023-02-06,1037000.0,,,512
63550,2023-03-20,28694600.0,0.8521341463414633,0.0,541
64090,2023-01-25,80002850.0,0.580046403712297,0.004054552156284474,504
64140,2021-07-28,1042900.0,,-0.05513439007580978,139
64610,2023-09-27,35457400.0,0.5224358974358974,0.23939986953685577,671
64620,2023-09-27,87998200.0,0.584327086882453,0.2277227722772277,671
65020,2023-12-19,7330500800.0,0.037522603978300095,-0.0006531678641410466,727
65310,2021-06-28,46782000.0,0.24195121951219511,-0.0007849293563578774,119
65410,2022-02-25,745280600.0,-0.9932457786116323,-0.96,281
65530,2022-05-06,29453950.0,0.15992292870905578,0.9911797133406837,326
65670,2024-03-18,12177800.0,0.3358895705521472,-0.00457142857142856,785
65690,2023-09-27,91038900.0,0.40653357531760426,-0.13793103448275867,671
65750,2022-02-07,2366000.0,0.3208092485549132,0.3401759530791788,269
66180,2024-02-07,47574400.0,0.5040556199304751,0.5600961538461537,759
66280,2021-07-30,66890600.0,-0.9333333333333333,-0.875,141
66390,2022-04-27,6948600.0,0.5843621399176955,0.5560046189376444,323
66410,2023-04-26,195939100.0,0.25816023738872396,0.2761474793077503,567
67090,2021-07-28,27518100.0,0.716612377850163,0.45983379501385047,139
67220,2021-01-27,46057700.0,,0.16882276843467015,17
68150,2022-11-28,74511700.0,0.2319277108433735,0.0,465
68260,2022-12-19,16922800.0,0.6738095238095239,-0.0028368794326241176,480
68390,2021-08-25,114059500.0,1.2610837438423643,0.0021834061135370675,158
68520,2021-03-19,5161000.0,0.002007024586051287,0.002007024586051287,52
68810,2023-10-25,70530050.0,0.09506398537477145,0.29653679653679643,690
69160,2022-06-15,23300750.0,0.22222222222222232,0.0,354
69240,2023-06-08,39424700.0,0.7023718439173681,0.0011248593925758943,595
69440,2021-03-19,7629900.0,-0.002390057361376652,-0.002390057361376652,52
70450,2022-04-18,1998750.0,-0.10190073917634634,0.5463636363636364,316
70700,2022-11-08,1835300.0,-0.10666666666666669,0.34899328859060397,452
71690,2022-07-12,1731600.0,-0.04308160162189556,0.34760885082084236,373
71900,2021-06-28,15020300.0,0.12265512265512268,-0.052375152253349544,119
72980,2024-01-09,44797050.0,0.08359374999999991,0.0,738
73150,2024-03-22,21926800.0,0.6156787762906311,0.0047562425683709275,788
73210,2021-03-29,173450250.0,0.2991967871485943,0.2991967871485943,58
73380,2024-04-24,1718600.0,0.47984395318595574,0.3827460510328069,811
73390,2023-02-28,5209850.0,0.6690240452616689,-0.0014104372355430161,527
74480,2021-03-29,24570800.0,-0.19269102990033227,-0.19269102990033227,58
75190,2021-07-21,18623100.0,-0.9243697478991597,-0.9415584415584416,136
