,eneos_vwap_trend,vwap_morning_meanrevert,lasertec_ma25_support,bank_absorption,closing_auction
2025-04-23,0.0052760296900014,0.0,0.0,0.0,-0.006235317088788217
2025-04-24,0.0,0.0,0.0,0.0,0.008587257617728605
2025-04-25,0.0,0.0,0.0,0.0,-0.0013183922550076843
2025-04-28,-0.0047122035360069,0.0,0.0,-0.0051322648083623,-0.0024872193759069897
2025-04-30,0.0,-0.0149038167938931,0.0,-0.0051322648083623,-0.0074777755317314
2025-05-01,0.0,-0.0042009675190049,0.0,-0.0051322648083623,-0.003084688726864848
2025-05-02,0.0,0.0,0.0,-0.0051322648083623,-0.007230862871029956
2025-05-07,0.0,0.0,0.0,0.0247527356130379,0.0021037048353749863
2025-05-08,0.0,0.0,0.0,0.0347144024201713,0.006108788738681453
2025-05-09,-0.0043149888143177,0.0,0.0,0.0347144024201713,0.007148700602330527
2025-05-12,0.0,0.0,0.0,0.0347144024201713,0.0062153163152052215
2025-05-13,0.0063192521180251,0.0,0.0,0.0188555338991855,0.0030912129631498913
2025-05-14,0.0,0.0,0.0,-0.0032669285381351,-0.00117367626744036
2025-05-15,0.0,0.0,0.0,-4.369727190740171e-05,0.008720743060240463
2025-05-16,0.0,0.0,0.0,0.0002888527248777,-0.009325114588272454
2025-05-19,0.0,0.0,0.0,0.0015034969938046,0.015018125323666533
2025-05-20,0.0,0.0,0.0,0.0036489189525039,0.002789400278939924
2025-05-21,0.0,0.0,0.0,0.0062739225257444,-0.012583513903936472
2025-05-22,0.0,0.0,0.0,0.0032878836275118,0.004775944143678509
2025-05-23,0.0,0.0,0.0,0.0036219538571889,0.0008429926238144869
2025-05-26,0.0,0.0,0.0,0.0020964779137924,0.008888888888888946
2025-05-27,0.0,0.0,0.0,0.0020964779137924,0.00914855833554853
2025-05-28,0.0,0.0,0.0,0.0020964779137924,0.0069799353046143455
2025-05-29,0.0,0.0,0.0,0.0,0.0
2025-05-30,0.0,0.0,0.0,0.0,-0.005948597226475793
2025-06-02,0.0,0.0,0.0,0.0,0.01956947162426625
2025-06-03,0.0,0.0,0.0077572027972027,0.0,0.011342155009451904
2025-06-04,0.0,0.0,0.0077572027972027,0.0,-0.008379875332277464
2025-06-05,0.0,0.0,0.0077572027972027,0.0,0.0032948929159801743
2025-06-06,0.0,0.0,0.0077572027972027,0.0,0.016518424396442244
2025-06-09,0.0,0.0,0.0077572027972027,0.0,0.006556275860424288
2025-06-10,0.0,0.0,0.0077572027972027,0.0,0.011784511784511675
2025-06-11,0.0,0.0,0.0077572027972027,0.0,-0.0062403966583800315
2025-06-12,0.0,0.0,0.0077572027972027,0.0,-0.0036521802965790444
2025-06-13,4.0404040404066425e-06,0.0,0.0077572027972027,0.0,0.012089274643521495
2025-06-16,0.0139845840683947,0.0,0.0077572027972027,-0.00368435875943,-0.0009242144177449285
2025-06-17,0.0,0.0,0.0,-0.00368435875943,0.0
2025-06-18,0.0,0.0124361858190708,0.0,-0.00368435875943,0.0022494512464232832
2025-06-19,-0.0039837353549277,0.0,0.0,-0.00368435875943,0.001490398642890171
2025-06-20,0.0,0.0,0.0,-0.00368435875943,-0.0026755488908175268
2025-06-23,0.0119287671232876,0.0,0.0,0.0024771912144855,0.0
2025-06-24,0.0,-0.0047775649794801,0.0,0.0024771912144855,0.01153353267834256
2025-06-25,0.0,0.0,0.0,0.0024771912144855,0.0
2025-06-26,0.0,0.0,0.0,0.0024771912144855,0.01381654864935744
