date,code,side,entry,exit,or_high,or_low,pnl,entry_ts
2025-09-11,58020,1,4280.0,4235.0,4280.0,4230.0,-0.012169681489687669,2025-09-11 09:56:00
2025-09-12,58020,1,4273.0,4181.0,4273.0,4242.0,-0.023365704287459915,2025-09-12 09:25:00
2025-09-16,58020,-1,4203.0,4271.0,4235.0,4203.0,-0.017649435836349873,2025-09-16 09:26:00
2025-09-17,58020,-1,4195.0,4140.0,4285.0,4195.0,0.011597552081946474,2025-09-17 09:16:00
2025-09-18,58020,1,4150.0,4210.0,4150.0,4108.0,0.012754313451683121,2025-09-18 09:19:00
2025-09-19,58020,-1,4197.0,4184.0,4255.0,4197.0,0.0015022575888320024,2025-09-19 09:32:00
2025-09-22,58020,-1,4200.0,4159.0,4235.0,4200.0,0.008209864528547989,2025-09-22 09:30:00
2025-09-24,58020,1,4177.0,4219.0,4177.0,4132.0,0.008404847627163299,2025-09-24 09:23:00
2025-09-25,58020,1,4277.0,4301.0,4277.0,4234.0,0.0039957245568277054,2025-09-25 09:41:00
2025-09-26,58020,-1,4295.0,4254.0,4362.0,4295.0,0.00799183865817321,2025-09-26 09:16:00
2025-09-29,58020,1,4246.0,4245.0,4246.0,4190.0,-0.001835543517753756,2025-09-29 13:31:00
2025-09-30,58020,1,4233.0,4218.0,4233.0,4178.0,-0.005149879482203743,2025-09-30 11:04:00
2025-10-01,58020,-1,4099.0,4129.0,4207.0,4099.0,-0.008892205381752567,2025-10-01 11:17:00
2025-10-02,58020,1,4253.0,4197.0,4253.0,4177.0,-0.01485463192004269,2025-10-02 09:16:00
2025-10-03,58020,1,4181.0,4200.0,4181.0,4121.0,0.0029340729148946447,2025-10-03 09:45:00
2025-10-07,58020,1,4530.0,4465.0,4530.0,4397.0,-0.016052725166480243,2025-10-07 09:16:00
2025-10-08,58020,1,4487.0,4533.0,4487.0,4442.0,0.00859964496486591,2025-10-08 09:16:00
2025-10-09,58020,1,4642.0,4630.0,4642.0,4592.0,-0.004188439754102557,2025-10-09 09:16:00
2025-10-10,58020,-1,4534.0,4535.0,4604.0,4534.0,-0.0018205314817627567,2025-10-10 11:04:00
2025-10-14,58020,1,4485.0,4329.0,4485.0,4436.0,-0.03700192705091595,2025-10-14 09:24:00
2025-10-15,58020,1,4356.0,4437.0,4356.0,4315.0,0.016824267326058504,2025-10-15 09:16:00
2025-10-16,58020,-1,4490.0,4544.0,4567.0,4490.0,-0.013554979664687397,2025-10-16 10:23:00
2025-10-17,58020,1,4492.0,4458.0,4492.0,4409.0,-0.009197801912519602,2025-10-17 10:29:00
2025-10-20,58020,1,4509.0,4577.0,4509.0,4434.0,0.013368362232557931,2025-10-20 10:23:00
2025-10-21,58020,-1,4528.0,4534.0,4612.0,4528.0,-0.002924211184455451,2025-10-21 12:49:00
2025-10-22,58020,-1,4433.0,4494.0,4529.0,4433.0,-0.015266618000220993,2025-10-22 09:40:00
2025-10-23,58020,1,4492.0,4530.0,4492.0,4404.0,0.0068239026187459995,2025-10-23 09:19:00
2025-10-24,58020,1,4591.0,4610.0,4591.0,4530.0,0.0025299917414720987,2025-10-24 10:17:00
2025-10-27,58020,-1,4700.0,4770.0,4760.0,4700.0,-0.016383796184236913,2025-10-27 09:45:00
