date,code,side,gap_pct,entry,exit,pnl
2025-04-15,57130,-1,1.7397855573635994,2870.0,2826.5,0.013672832638321298
2025-04-23,57130,-1,2.020270731751947,3250.0,3145.0,0.03124110618924222
2025-04-25,57130,-1,1.5397004877567575,3207.0,3216.0,-0.004402430605702116
2025-04-30,57130,-1,1.7568644202323613,3273.0,3181.0,0.026911382752036354
2025-05-01,57130,1,-1.5843170422738366,3131.0,3131.0,-0.0016
2025-05-08,57130,1,-1.6667052485211646,3094.0,3149.0,0.016020189968013153
2025-05-09,57130,-1,1.8562747885380437,3208.0,3150.0,0.01664523716672638
2025-05-13,57130,-1,1.9888784853789323,3250.0,3285.0,-0.012311655594927811
2025-05-21,57130,-1,1.5430947030543218,3200.0,3260.0,-0.020176385572935458
2025-05-28,57130,1,-2.072919945623071,3342.0,3283.0,-0.019411791653746385
2025-06-10,57130,-1,1.8311202709509578,3417.0,3347.0,0.0190985509039652
2025-06-16,57130,-1,1.6607736399660546,3400.0,3380.0,0.004299722127188271
2025-07-22,57130,-1,1.563436593683017,3481.0,3544.0,-0.019536423913532632
2025-08-01,57130,-1,1.9773405046356614,3422.0,3385.0,0.009271269105763365
2025-08-18,57130,-1,1.879249934936732,3760.0,3788.0,-0.009019217922028647
2025-09-03,57130,-1,1.6264410189574559,4215.0,4181.0,0.006499139079390815
2025-09-08,57130,-1,1.6083601196697124,4262.0,4264.0,-0.0020691531871179654
2025-09-12,57130,-1,1.5044838801659723,4353.0,4331.0,0.0034668003376709016
2025-10-09,57130,-1,1.6998670850249131,5221.0,5242.0,-0.00561415047279922
2025-10-14,57130,-1,1.620909178604948,5100.0,5100.0,-0.0016
2025-10-16,57130,-1,1.560035397228845,5362.0,5321.0,0.00607578419953529
2025-11-13,57130,-1,1.5696475739519045,5201.0,5205.0,-0.002368787275996738
2025-11-17,57130,1,-1.5904136622714968,5115.0,5091.0,-0.006303124483390801
2025-12-05,57130,1,-1.8957913744614159,5225.0,5499.0,0.049511459674802985
2025-12-24,57130,-1,1.6396497846555373,6149.0,6488.0,-0.055264849841779054
2026-01-07,57130,-1,1.9499811243503793,7198.0,7174.0,0.0017398305467480762
2026-01-21,57130,1,-1.873415599873243,7932.0,8380.0,0.05334270383644223
2026-01-23,57130,-1,1.7210459946093857,8322.0,8488.0,-0.02135079075093242
2026-01-26,57130,-1,1.7517673226827304,8638.0,8509.0,0.013446647671089074
2026-02-12,57130,-1,2.414409892936097,10480.0,10795.0,-0.031214385073874654
2026-02-26,57130,-1,1.9550133922789383,11880.0,11345.0,0.04447919570269377
2026-03-03,57130,-1,1.7471010279585437,13280.0,11995.0,0.10016924775662993
2026-03-06,57130,1,-2.2559152020562303,10300.0,10125.0,-0.01873628224298724
2026-03-27,57130,1,-1.619556021245942,9187.0,9478.0,0.029583882256067198
2026-04-09,57130,1,-1.508177455732209,10200.0,9922.0,-0.02923320641136822
2026-04-15,57130,-1,2.843793532053341,10700.0,10645.0,0.003553443122417646
2026-04-17,57130,1,-2.2019238243917334,10780.0,10150.0,-0.06181885999305472
2026-04-22,57130,1,-2.8987536873252298,9996.0,10030.0,0.0017955890011381074
2026-04-23,57130,-1,2.6563293261746006,10300.0,9740.0,0.05430277758114638
2026-04-27,57130,1,-1.5563709052787917,9563.0,9599.0,0.002157441013994273
2026-05-08,57130,-1,2.0123378439783144,10290.0,10615.0,-0.03269554530926114
2026-05-20,57130,1,-1.629585219123212,9130.0,8980.0,-0.018165812292768816
