date,entry_time,exit_time,hold_min,position,entry_z,exit_z,pnl
2025-10-23,2025-10-23 10:00:00,2025-10-23 10:51:00,51,-1,2.5810265764488416,0.4861043332501083,0.002602305829500189
2025-10-23,2025-10-23 13:56:00,2025-10-23 15:24:00,88,1,-2.2884857922842303,-3.6373518218796916,-0.007756879322298015
2025-11-06,2025-11-06 10:26:00,2025-11-06 15:24:00,298,1,-2.010444911916884,-1.262531208949093,-0.00558023249454375
2025-11-07,2025-11-07 10:35:00,2025-11-07 15:24:00,289,1,-2.951984394882712,-4.123301524534465,-0.007364880802263724
2025-11-10,2025-11-10 10:45:00,2025-11-10 12:33:00,108,1,-2.0897449962458907,-0.05119784596336623,0.004596370287965519
2025-11-10,2025-11-10 15:09:00,2025-11-10 15:24:00,15,1,-2.0722655330317243,-3.0420712996607935,-0.00242718604027092
2025-11-11,2025-11-11 10:28:00,2025-11-11 11:17:00,49,-1,2.2100601668728053,0.3751360467076553,-0.005928953940243846
2025-11-11,2025-11-11 12:44:00,2025-11-11 13:05:00,21,1,-2.0645713964913694,-0.48834414213398963,0.010678352277472948
2025-11-11,2025-11-11 14:37:00,2025-11-11 15:24:00,47,1,-2.347470079095111,-2.969088430988314,-0.0023508891933686988
2025-11-12,2025-11-12 12:35:00,2025-11-12 13:41:00,66,1,-2.044414569511477,-0.2143165980919966,0.006813485752728187
2025-11-13,2025-11-13 11:00:00,2025-11-13 12:40:00,100,1,-2.018724854610732,-0.42440023789862996,0.0073419474899752086
2025-11-14,2025-11-14 10:27:00,2025-11-14 15:24:00,297,1,-2.19340672088292,-6.610569049804684,-0.007858601882002988
2025-11-18,2025-11-18 12:30:00,2025-11-18 15:24:00,174,1,-2.0997228926978426,-5.508460036864813,-0.0028364863891680364
2025-11-20,2025-11-20 10:01:00,2025-11-20 10:15:00,14,-1,2.1879883195061733,0.3893146499014261,0.004560349468404101
2025-11-20,2025-11-20 12:41:00,2025-11-20 15:24:00,163,-1,2.118131594176577,7.01769000548613,-0.009766455608715568
2025-11-21,2025-11-21 12:30:00,2025-11-21 13:57:00,87,-1,2.579313792582079,0.3875892194112856,0.005438270119790999
2025-11-21,2025-11-21 14:58:00,2025-11-21 15:24:00,26,-1,2.1714381871289694,1.3253347571464718,0.0010928470548512389
2025-11-25,2025-11-25 10:32:00,2025-11-25 10:41:00,9,-1,2.3330884732874937,-0.026167746070437547,0.004951351866683226
2025-11-26,2025-11-26 15:06:00,2025-11-26 15:24:00,18,1,-2.2314077496366878,-1.4618348797227323,0.0012054060527044586
2025-11-27,2025-11-27 10:25:00,2025-11-27 10:56:00,31,-1,2.0007285479135977,0.4323624140559321,0.0004694617257213604
2025-11-27,2025-11-27 11:07:00,2025-11-27 15:24:00,257,-1,2.4458225705032435,6.674382845492859,-0.009943539082577526
2025-11-28,2025-11-28 12:48:00,2025-11-28 13:00:00,12,-1,2.0868999896140292,0.4459757745277152,0.0009139717765793661
2025-12-01,2025-12-01 10:04:00,2025-12-01 15:24:00,320,-1,2.258925080267074,3.271480299685007,-0.005829455619002009
2025-12-02,2025-12-02 10:10:00,2025-12-02 15:24:00,314,-1,2.0471899802485134,1.8179552119677775,-0.0008566033418380789
2025-12-03,2025-12-03 10:20:00,2025-12-03 10:38:00,18,-1,2.2130831553434227,0.2987253554175351,0.0016701285398440563
2025-12-03,2025-12-03 11:24:00,2025-12-03 15:24:00,240,1,-2.078253867123377,-3.5148283099026463,-0.004003128687313717
2025-12-04,2025-12-04 10:00:00,2025-12-04 15:24:00,324,-1,2.5744381794989657,2.9805758179345334,-0.0021964953446121857
2025-12-05,2025-12-05 10:12:00,2025-12-05 12:32:00,140,-1,2.105212002208258,0.4245824467940248,0.006147154646168461
2025-12-05,2025-12-05 13:57:00,2025-12-05 15:24:00,87,-1,2.0273900210545355,2.4707953314434206,-0.0031378522608265964
2025-12-08,2025-12-08 10:06:00,2025-12-08 15:24:00,318,1,-2.4625240947170277,-2.2275237467335787,-0.0035926012286727578
2025-12-09,2025-12-09 10:01:00,2025-12-09 15:24:00,323,1,-2.1784297394367353,-5.708016941029307,-0.01180164744185928
2025-12-10,2025-12-10 10:08:00,2025-12-10 10:20:00,12,1,-2.078093294538445,-0.1787070036065762,0.0031048933638994003
2025-12-10,2025-12-10 11:05:00,2025-12-10 15:24:00,259,-1,2.045823200665302,3.501906915018726,-0.0030145212491210016
2025-12-11,2025-12-11 10:08:00,2025-12-11 15:24:00,316,1,-2.2683903428599455,-2.8750318423072327,0.003972640489622565
2025-12-12,2025-12-12 10:06:00,2025-12-12 13:06:00,180,1,-2.6635988280418377,-0.47712322305300686,-0.0006543474743877303
2025-12-12,2025-12-12 13:14:00,2025-12-12 15:24:00,130,-1,2.050072114469095,5.468233739946497,-0.004971319604122031
2025-12-15,2025-12-15 13:07:00,2025-12-15 14:29:00,82,-1,2.538070158442715,0.479224836272731,0.004498422521545453
2025-12-16,2025-12-16 10:19:00,2025-12-16 10:45:00,26,-1,2.1043646761313877,0.1663156529419638,-2.1894583269949216e-05
2025-12-16,2025-12-16 13:10:00,2025-12-16 15:24:00,134,-1,2.2062559092986542,3.438450896027761,-0.001348541182738509
2025-12-17,2025-12-17 10:10:00,2025-12-17 15:24:00,314,-1,2.0905640913252017,0.5454631110175029,0.005789151881161186
2025-12-18,2025-12-18 14:57:00,2025-12-18 15:24:00,27,1,-2.105243078433047,-2.1480269423883613,-0.003510219497700638
2025-12-19,2025-12-19 11:28:00,2025-12-19 12:31:00,63,-1,2.041338267920857,0.2299973102492773,0.0033354129745954706
2025-12-19,2025-12-19 14:10:00,2025-12-19 15:24:00,74,-1,2.1521123608734936,3.459295828353009,-0.006805636752439881
2025-12-22,2025-12-22 10:06:00,2025-12-22 15:24:00,318,-1,2.3962317521711705,3.3954482471858447,0.0002482173846616732
2025-12-23,2025-12-23 10:08:00,2025-12-23 15:24:00,316,-1,2.0311293319060626,3.1998731377262994,-0.0023895791263106522
2025-12-24,2025-12-24 10:53:00,2025-12-24 15:24:00,271,-1,2.0764876438560766,1.8539852886697357,0.0021397624504680916
2025-12-25,2025-12-25 10:04:00,2025-12-25 10:25:00,21,1,-2.3882064489104873,-0.2979938011945711,0.0020827860006457826
2025-12-25,2025-12-25 10:37:00,2025-12-25 15:24:00,287,1,-2.1652847387957843,-3.0919769957087295,-0.0019962539711981383
2025-12-26,2025-12-26 10:10:00,2025-12-26 15:24:00,314,-1,2.6705380576084186,11.83600593964428,-0.019124818456157367
2025-12-29,2025-12-29 13:10:00,2025-12-29 15:02:00,112,-1,2.215665737921254,0.23281765579583183,0.0007453239143912201
2025-12-30,2025-12-30 10:20:00,2025-12-30 10:49:00,29,-1,2.284127756453622,0.4344952000048776,0.005714953096551176
2025-12-30,2025-12-30 12:46:00,2025-12-30 15:24:00,158,-1,2.095445483830368,2.686407221023966,-0.006687848653232279
2026-01-05,2026-01-05 10:08:00,2026-01-05 10:15:00,7,-1,2.0995877712938693,0.14758011798764642,0.0012080527808026344
2026-01-05,2026-01-05 10:54:00,2026-01-05 11:12:00,18,1,-2.311364149647329,-0.46093113784038164,-4.0528524421991905e-05
2026-01-06,2026-01-06 10:11:00,2026-01-06 15:24:00,313,-1,2.0127209463171796,10.339752156125229,-0.011796219747785709
2026-01-09,2026-01-09 10:27:00,2026-01-09 14:26:00,239,1,-2.233470964230759,-0.49948184412491253,0.0020359287201019696
2026-01-09,2026-01-09 15:06:00,2026-01-09 15:24:00,18,-1,2.082385826833618,2.6178004548755136,-0.0036082456314630064
2026-01-14,2026-01-14 10:25:00,2026-01-14 15:24:00,299,-1,2.1457920768129064,0.8968121769936068,0.006399044716001417
2026-01-15,2026-01-15 11:08:00,2026-01-15 12:38:00,90,-1,2.001328788422394,0.2083192936270638,0.006649173692530637
2026-01-15,2026-01-15 13:44:00,2026-01-15 15:24:00,100,1,-2.2396391455255107,-1.0202010426915218,0.003965846346088221
2026-01-16,2026-01-16 13:54:00,2026-01-16 15:24:00,90,1,-2.0299900794723023,-3.779744825529424,-0.010458991409190592
2026-01-19,2026-01-19 12:33:00,2026-01-19 13:56:00,83,1,-2.1735085408528065,-0.47358628305762074,0.004573770736729799
2026-01-20,2026-01-20 10:05:00,2026-01-20 15:24:00,319,1,-2.3132769200838244,-4.39784681497967,-0.0070370825142350895
2026-01-21,2026-01-21 13:06:00,2026-01-21 15:24:00,138,1,-2.081816522300852,-2.2202022868003812,-0.003281726896611806
2026-01-29,2026-01-29 10:04:00,2026-01-29 11:01:00,57,1,-2.384996472577502,-0.4322091104396054,0.0034721467496117544
2026-01-29,2026-01-29 11:10:00,2026-01-29 12:30:00,80,1,-2.213240754382871,0.4479971623636183,0.0014016472450579292
2026-01-29,2026-01-29 12:31:00,2026-01-29 15:24:00,173,-1,2.3645423469390816,4.342942172004908,-0.00042386135351731827
2026-01-30,2026-01-30 10:45:00,2026-01-30 15:24:00,279,1,-2.1329358326667287,-7.130810360043167,-0.020544505551051587
2026-02-02,2026-02-02 12:30:00,2026-02-02 15:24:00,174,1,-2.0586659964298812,-5.288092053867454,-0.0090075985750069
2026-02-03,2026-02-03 10:26:00,2026-02-03 11:14:00,48,-1,2.031511990075922,0.41069311112847706,0.0037714085205849558
2026-02-03,2026-02-03 13:02:00,2026-02-03 15:24:00,142,-1,2.08652704557373,3.251011002572168,0.00042185053665648085
2026-02-04,2026-02-04 10:14:00,2026-02-04 13:30:00,196,-1,2.0615422788984814,0.24805573932550046,0.006101259530619457
2026-02-04,2026-02-04 15:04:00,2026-02-04 15:24:00,20,-1,2.042562493792129,2.6185901244953436,-0.0027564101262721706
2026-02-05,2026-02-05 12:30:00,2026-02-05 15:24:00,174,1,-3.82567998469263,-5.580148442001637,-0.009199838598748077
2026-02-06,2026-02-06 11:11:00,2026-02-06 15:24:00,253,-1,2.014481547627232,5.15371054559907,-0.006726148672207559
2026-02-09,2026-02-09 10:53:00,2026-02-09 11:21:00,28,1,-2.124184070466459,-0.1520977268293145,-0.0008271191782339411
2026-02-09,2026-02-09 12:30:00,2026-02-09 12:43:00,13,1,-2.6834353151978507,-0.2759885764815509,0.0004753759916154463
2026-02-09,2026-02-09 14:01:00,2026-02-09 15:24:00,83,-1,2.222277017448406,4.32928010519148,-0.03215036667341436
2026-02-10,2026-02-10 11:07:00,2026-02-10 15:24:00,257,-1,2.375748536540119,2.0839842022327892,0.00013735027718734714
2026-02-16,2026-02-16 10:15:00,2026-02-16 15:24:00,309,1,-2.139827054922959,-3.0287807555674426,0.001837065531325687
2026-02-17,2026-02-17 13:31:00,2026-02-17 15:24:00,113,1,-2.2044426746543415,-1.2757942042163906,-0.003017499224592066
2026-02-18,2026-02-18 10:45:00,2026-02-18 11:17:00,32,1,-2.0354382955084147,-0.31257795077138667,0.003628960949351818
2026-02-18,2026-02-18 15:03:00,2026-02-18 15:24:00,21,1,-2.042680525045488,-2.2338071007735705,-0.002507869541796847
2026-02-19,2026-02-19 12:47:00,2026-02-19 13:35:00,48,-1,2.2632246615806375,0.4008844265210017,0.0036693015819718325
2026-02-19,2026-02-19 14:19:00,2026-02-19 15:24:00,65,-1,2.327399945209749,2.6560812548196004,-0.003588711775290852
2026-02-20,2026-02-20 11:13:00,2026-02-20 13:53:00,160,1,-2.1064927250116265,-0.47480356245670213,0.0010215905323612826
2026-02-24,2026-02-24 10:42:00,2026-02-24 12:31:00,109,-1,2.041534049792765,-0.34167234747113895,0.013044977689773769
2026-02-25,2026-02-25 10:58:00,2026-02-25 14:09:00,191,-1,2.0175194174143005,0.11421050673469894,0.010038355087858525
2026-02-27,2026-02-27 12:34:00,2026-02-27 14:14:00,100,-1,2.1845669087274984,0.43431177101891033,0.005571022407079649
2026-03-02,2026-03-02 10:28:00,2026-03-02 15:24:00,296,1,-2.1508316111367853,-3.857473655125212,-0.001649676330178855
