pair,name,entry_z,exit_z,N,N_days,trades/day,mean_%/trade,Sharpe,Winrate_%,PF,Cum_%,MaxDD_%
57060-57130,三井金属/住友金属鉱山,2.0,0.5,276,195,1.42,-0.20221326708671694,-5.667934209009439,45.289855072463766,0.3980440394801636,-55.8108617159339,-56.817619872740124
57130-58020,住友金属鉱山/住友電工,3.0,0.5,182,156,1.17,-0.24250948885311827,-5.774738376429987,39.010989010989015,0.3497153687409172,-44.13672697126753,-43.28233195612524
57130-57140,住友金属鉱山/DOWA HD,2.0,0.5,356,224,1.59,-0.1242595908917344,-5.833653573689395,41.853932584269664,0.3927885603632643,-44.23641435745748,-47.05878643274367
57130-58020,住友金属鉱山/住友電工,2.5,0.5,219,178,1.23,-0.24768332533966964,-6.143734028988058,39.26940639269406,0.3480472565369309,-54.24264824938767,-54.72171193571064
57130-58020,住友金属鉱山/住友電工,2.0,0.5,272,199,1.37,-0.22853127712475696,-6.1859556731485625,43.75,0.3708620656554329,-62.16050737793387,-63.24968346821134
57110-57130,三菱マテリアル/住友金属鉱山,2.5,0.5,272,202,1.35,-0.12920683636898128,-6.238547605429218,36.76470588235294,0.37427755702219423,-35.1442594923629,-35.793687116762136
57110-57130,三菱マテリアル/住友金属鉱山,3.0,0.5,200,175,1.14,-0.14614332012212344,-6.318158909120019,32.0,0.35246243262008015,-29.22866402442469,-29.861655562972476
57110-57140,三菱マテリアル/DOWA HD,3.0,0.0,162,162,1.0,-0.14830391656959155,-6.380532949443724,30.864197530864196,0.3260554860436716,-24.025234484273845,-25.07861484835766
57110-57140,三菱マテリアル/DOWA HD,2.5,0.5,252,196,1.29,-0.11853302874668584,-6.717907984497418,36.507936507936506,0.3236137246976944,-29.870323244164805,-29.983279691384944
57110-57140,三菱マテリアル/DOWA HD,2.0,0.5,349,229,1.52,-0.11133599639264705,-6.912241946529855,37.53581661891118,0.3179081897798443,-38.85626274103386,-39.16315439559979
57110-57140,三菱マテリアル/DOWA HD,3.0,0.5,187,162,1.15,-0.14220862530617545,-7.364696297387485,34.75935828877005,0.27796285047727926,-26.59301293225479,-26.70640880180023
