date,miner_long,miner_short,pnl_miner,wire_long,wire_short,pnl_wire,pnl_total
2025-09-08,50160,57060,-0.005251883678514295,58020,58010,-0.0009237825332823516,-0.003087833105898323
2025-09-09,57110,57060,-0.0024218571713708983,58010,58030,0.01164737896796559,0.004612760898297346
2025-09-10,57060,57140,-0.0004985360240515799,58010,58030,0.0022790526591290675,0.0008902583175387438
2025-09-11,57060,57140,-0.008803220266999711,58030,58010,-0.0070286443889610375,-0.007915932327980374
2025-09-12,50160,57060,0.003019475851389359,58020,58010,-0.0016660531844934646,0.0006767113334479472
2025-09-16,57060,50160,-3.657625315251281e-05,58020,58030,0.00093067485224881,0.0004470492995481486
2025-09-17,50160,57060,-0.005611036382182995,58030,58010,-0.005775578160583587,-0.005693307271383291
2025-09-18,50160,57110,-0.003259716410365693,58020,58010,-0.006132938762745082,-0.004696327586555388
2025-09-19,50160,57130,0.003103258213882491,58010,58030,-0.006941787790552368,-0.0019192647883349385
2025-09-22,57140,57060,-0.005960099522233049,58010,58020,-0.00275236602571448,-0.004356232773973765
2025-09-24,50160,57130,0.0016585352385606253,58010,58020,0.006637683470146536,0.004148109354353581
2025-09-25,50160,57060,-0.0035398341152576797,58030,58010,-0.0017015906390774463,-0.002620712377167563
2025-09-26,57110,57060,-0.01408993331239055,58030,58020,-0.009315809982923166,-0.011702871647656859
2025-09-29,50160,57060,-0.001400924900175934,58010,58020,0.005305778660876026,0.001952426880350046
2025-09-30,50160,57060,5.6140546668085895e-05,58020,58010,-0.005066113778034212,-0.0025049866156830634
2025-10-01,50160,57130,0.007764855539693798,58020,58010,-0.0025364137692654894,0.002614220885214154
2025-10-02,50160,57140,0.009413137134354998,58020,58030,0.0048565328730947295,0.007134835003724863
2025-10-03,57060,50160,-0.007583534437541199,58020,58030,-0.005838176845513862,-0.006710855641527531
2025-10-06,50160,57060,-0.0007613336229960921,58010,58020,0.0005814225385687107,-8.995554221369068e-05
2025-10-07,50160,57060,-0.03562789933515727,58030,58010,-0.005126257906566069,-0.020377078620861667
2025-10-08,50160,57130,-0.012240872118352791,58030,58020,0.0004661670843281434,-0.005887352517012324
2025-10-09,57140,50160,-0.004374012176410869,58030,58010,0.006025279197848909,0.0008256335107190201
2025-10-10,50160,57130,-0.004529118811414428,58020,58030,-0.004766350823511604,-0.004647734817463016
2025-10-14,57130,50160,-0.0003952301675836517,58030,58020,-0.011033742636082495,-0.005714486401833073
2025-10-15,50160,57130,-0.010962517351073335,58030,58020,-0.005668232736821712,-0.008315375043947523
2025-10-16,57130,57140,-0.003594897684050075,58010,58030,-0.006104950495751622,-0.004849924089900848
2025-10-17,57140,50160,0.0017264328856028432,58030,58010,0.0014721116842498667,0.001599272284926355
2025-10-20,57110,50160,-0.004547463251986755,58020,58030,-0.007601637660149304,-0.0060745504560680294
2025-10-21,50160,57110,-0.01595362049927298,58020,58030,0.014209323565039901,-0.0008721484671165387
2025-10-22,57060,57130,0.006424878436998066,58010,58030,-0.008631631751603214,-0.001103376657302574
2025-10-23,57130,50160,0.01140132722399608,58030,58010,-0.0031104096037095825,0.004145458810143249
2025-10-24,50160,57130,0.010286619773034215,58010,58020,-0.00099901531781762,0.0046438022276082975
2025-10-27,50160,57060,-0.008292670389233184,58030,58010,0.008289033834639902,-1.8182772966411631e-06
2025-10-28,50160,57110,-0.001260511805638959,58010,58030,0.00508056329698648,0.0019100257456737607
2025-10-29,57060,50160,0.012621245964141792,58020,58010,0.001975941912852148,0.00729859393849697
2025-10-30,57110,57060,-0.004163066770775745,58020,58010,0.0029716214812335953,-0.000595722644771075
2025-10-31,50160,57060,-0.0058158805950714425,58030,58010,-0.026424762989578104,-0.016120321792324775
2025-11-04,50160,57130,0.0024601339727214734,58020,58030,-0.013632886508845967,-0.0055863762680622465
2025-11-05,57140,57060,-0.017587258800787032,58030,58010,-0.0052064305785980165,-0.011396844689692525
2025-11-06,57060,50160,0.008127741767808982,58030,58020,-0.012369125875545273,-0.0021206920538681456
2025-11-07,57110,50160,0.007828661069219402,58010,58020,0.001610640490211849,0.004719650779715625
2025-11-10,57060,57130,-0.002500442910339638,58020,58030,0.006155607275483397,0.0018275821825718794
2025-11-11,50160,57060,0.0009527222417233215,58010,58020,-0.013042399185536551,-0.006044838471906615
2025-11-12,57060,50160,0.012806490542955329,58030,58020,-0.0033344523052434676,0.0047360191188559305
2025-11-13,57140,50160,-0.003278426146718664,58010,58020,-0.008138266470325888,-0.005708346308522276
2025-11-14,57060,50160,0.009097787525328516,58020,58030,0.009469975501025777,0.009283881513177147
2025-11-17,50160,57140,-0.004114403329004401,58010,58020,0.00189941328518594,-0.0011074950219092305
2025-11-18,57110,50160,0.008698286932868145,58020,58010,0.0008883415393726359,0.0047933142361203905
2025-11-19,57060,57140,-0.00998703992252775,58030,58020,-0.007685073673634274,-0.008836056798081013
2025-11-20,57140,50160,-0.017683704401964595,58020,58030,0.00546158355465212,-0.0061110604236562375
2025-11-21,57110,57060,-0.0018407135508068406,58030,58010,0.009716809494463609,0.003938047971828384
2025-11-25,57110,57060,-0.00514513621097145,58020,58030,-0.005009154563333714,-0.0050771453871525825
2025-11-26,57130,57140,0.001486928617646436,58030,58010,-0.0051398434996753435,-0.0018264574410144538
2025-11-27,57130,57110,-0.006768795185840561,58010,58030,-0.0017147135117600426,-0.0042417543488003015
2025-11-28,57130,50160,0.002142862173720365,58010,58030,0.010389228273520196,0.006266045223620281
2025-12-01,57130,57060,-0.004031811922111019,58020,58030,0.008259246480857504,0.0021137172793732426
2025-12-02,57060,57110,-0.007592416404875297,58020,58010,-0.00355187912298318,-0.005572147763929239
2025-12-03,57060,50160,-0.004892513820622517,58020,58030,-0.01067546921942063,-0.007783991520021573
2025-12-04,57110,57130,-0.00431459300266975,58030,58010,-0.002329463333509957,-0.0033220281680898535
2025-12-05,50160,57140,0.005380280475673753,58020,58030,-0.0018521366246802371,0.001764071925496758
2025-12-08,57060,57110,-0.000514156982968703,58030,58010,-0.012170288052698548,-0.006342222517833626
2025-12-09,57110,57130,-0.001346344103375306,58020,58010,-0.0029998227971883007,-0.0021730834502818033
2025-12-10,57140,57130,-0.003335794044290945,58010,58030,-0.005733409360250379,-0.004534601702270662
2025-12-11,57060,50160,-0.011921753242142067,58030,58020,-0.001867623906032392,-0.0068946885740872295
2025-12-12,57130,57060,0.004303131700970339,58010,58030,-0.00552444906285098,-0.0006106586809403207
2025-12-15,50160,57110,-0.002275128662622513,58030,58010,-0.005626633784732024,-0.003950881223677268
2025-12-16,57130,57110,-0.002814805766490414,58020,58030,-0.0023999675311858473,-0.0026073866488381305
2025-12-17,57140,57110,-0.0009452721919311236,58020,58010,-0.00623458641470538,-0.0035899293033182515
2025-12-18,57060,57110,-0.003717155878620585,58010,58020,0.0015241998152558723,-0.0010964780316823563
2025-12-19,50160,57060,-0.0008469899662239041,58030,58010,-0.007670881903005657,-0.004258935934614781
2025-12-22,57060,57140,-0.0015023187906180835,58020,58010,-0.003922641878919218,-0.002712480334768651
2025-12-23,50160,57060,-0.00102680819929302,58010,58020,0.0014998118685672908,0.0002365018346371354
2025-12-24,57130,57060,0.009600783326166153,58010,58020,0.003966232822316355,0.006783508074241254
2025-12-25,57140,57060,-0.0007142173329837177,58020,58030,0.002349205594895567,0.0008174941309559246
2025-12-26,50160,57060,0.0014138983831239746,58030,58020,-0.004337161722424756,-0.0014616316696503908
2025-12-29,57110,57140,-0.001408056646032086,58030,58020,-0.0008543982035744383,-0.0011312274248032623
2025-12-30,50160,57130,0.0014468668679979463,58010,58020,-0.0030083087170930042,-0.000780720924547529
2026-01-05,57060,50160,-0.009022433866533189,58020,58010,-0.010538381192819383,-0.009780407529676287
2026-01-06,57110,57060,-0.011471220170340003,58010,58020,-0.003070746720633207,-0.007270983445486605
2026-01-07,57060,50160,-0.004292013749677517,58020,58030,-0.0035271504109534732,-0.0039095820803154956
2026-01-08,57060,57130,-0.004857828233580988,58010,58020,-0.006174109785692896,-0.005515969009636941
2026-01-09,57140,57060,-0.007268973917678666,58030,58020,-0.011365090450095651,-0.009317032183887158
2026-01-13,57140,57060,0.006030957325744038,58020,58010,-0.00288854973759505,0.0015712037940744938
2026-01-14,50160,57140,-0.02228300141603546,58010,58020,-0.003675903216462225,-0.012979452316248842
2026-01-15,50160,57140,-0.014146133488285318,58020,58010,0.006672337816411937,-0.003736897835936691
2026-01-16,57060,57140,-0.007947322669809059,58020,58030,-0.013948011328301558,-0.010947666999055309
2026-01-19,50160,57130,-0.00600297867030701,58010,58020,0.010549238224621445,0.0022731297771572175
2026-01-20,57130,57060,0.0014526222199177253,58010,58020,-0.0003251451737700643,0.0005637385230738305
2026-01-21,57140,57110,-0.0032473605674128536,58010,58020,-0.0023163605910038305,-0.002781860579208342
2026-01-22,57140,50160,-0.003822994836858263,58030,58010,0.00047757187301033935,-0.0016727114819239618
2026-01-23,57130,57060,0.002690573501871436,58010,58030,0.0016833929352711927,0.0021869832185713142
2026-01-26,57140,50160,0.005368290771266724,58010,58020,0.0035652672948315294,0.0044667790330491265
2026-01-27,57130,50160,0.0020034297595747878,58020,58010,0.0027275016744775313,0.0023654657170261596
2026-01-28,50160,57060,-0.01169466423082507,58030,58010,-0.013256973392724301,-0.012475818811774685
2026-01-29,57130,50160,0.01701766849428931,58020,58010,-0.0041315342913251785,0.006443067101482066
2026-01-30,57140,57060,0.007198914730639846,58020,58010,-0.0026236105141123883,0.002287652108263729
2026-02-02,57060,50160,-0.002096335394679601,58020,58030,0.006846165282109856,0.0023749149437151274
2026-02-03,57110,57060,-0.00940487871725186,58010,58020,-0.03664365017155301,-0.023024264444402434
2026-02-04,57130,57110,-0.010932057115610454,58010,58020,-0.013987303520150736,-0.012459680317880594
2026-02-05,50160,57060,-0.020731772932774208,58010,58020,-0.013428954141395335,-0.01708036353708477
2026-02-06,57060,57110,-0.0178861907375273,58030,58020,-0.002340989877081719,-0.010113590307304509
2026-02-09,57060,57140,-0.014927562904892501,58030,58020,-0.048469958999993665,-0.03169876095244308
2026-02-10,57130,57140,-0.002472974301640303,58010,58030,0.0024738886075032747,4.5715293148576586e-07
2026-02-12,57110,57140,0.0013508490938044636,58020,58030,-0.02365361040192423,-0.011151380654059882
2026-02-13,57110,50160,-0.034399790663426494,58020,58030,0.0021316611206754505,-0.016134064771375523
2026-02-16,57140,57130,0.0023611570452322424,58020,58010,-0.004226819210283336,-0.0009328310825255466
2026-02-17,57140,57060,-0.006697475275988263,58020,58010,-0.011641294641709248,-0.009169384958848757
2026-02-18,57060,57110,-0.003392759131404094,58020,58030,-0.01269659611078282,-0.008044677621093456
2026-02-19,50160,57110,0.000965400615158935,58020,58030,-0.009610157384577607,-0.0043223783847093356
2026-02-20,57060,57130,-0.007902651546414882,58020,58030,-0.006517742592722406,-0.007210197069568644
2026-02-24,50160,57060,-0.00980724278792278,58010,58020,0.01601030610564664,0.0031015316588619297
2026-02-25,50160,57140,0.005058049191690126,58010,58030,-0.029232255641203554,-0.012087103224756715
2026-02-26,57060,50160,-0.010281478540431526,58030,58020,0.006813417587732783,-0.0017340304763493715
2026-02-27,57140,50160,-0.01824359458578681,58020,58030,-0.005105067339120466,-0.011674330962453638
2026-03-02,50160,57130,0.0014527085361335946,58010,58020,-0.014907083345626548,-0.006727187404746477
2026-03-03,50160,57130,-0.000548425329896074,58010,58020,-0.0018421945262812843,-0.0011953099280886791
2026-03-04,57140,57060,-0.010395559769610015,58020,58030,0.007009735881645794,-0.0016929119439821104
2026-03-05,57060,57110,0.007914039118685455,58030,58010,-0.013073747573791495,-0.00257985422755302
2026-03-06,57140,57060,0.007250564558142826,58020,58030,-0.0023326647224744977,0.0024589499178341643
2026-03-09,57140,57060,-0.00656317781207336,58020,58010,-0.018415770499567885,-0.012489474155820622
2026-03-10,57140,50160,-0.002845344673700397,58010,58020,0.0008684018339670599,-0.0009884714198666687
2026-03-11,50160,57140,-0.007631555206273053,58010,58030,-0.0065467327269937625,-0.007089143966633408
2026-03-12,57060,57110,-0.001756253871347947,58030,58020,0.006287178122163329,0.002265462125407691
2026-03-13,57060,57140,0.004734326471411108,58020,58030,-0.015527739492261793,-0.005396706510425342
2026-03-16,57110,57060,-0.008549701589560437,58020,58010,-0.006332100980288014,-0.0074409012849242255
2026-03-17,57140,57060,0.013080687808470525,58030,58010,0.00223242176293657,0.007656554785703548
2026-03-18,57130,57060,-0.01658444052077377,58030,58020,-0.004655204759386151,-0.01061982264007996
2026-03-19,57060,57110,-0.0061872434067055644,58010,58030,0.005857347249607623,-0.00016494807854897054
