date,pnl,grp
2025-06-27,-0.016034506895471985,miner
2025-06-27,-0.00910755344434592,wire
2025-06-30,0.0009107648759692421,miner
2025-06-30,-0.009152962683056862,wire
2025-07-01,0.0019222935087331514,miner
2025-07-01,0.003050809953186605,wire
2025-07-02,0.007545052934737629,miner
2025-07-02,-0.0010095737930195037,wire
2025-07-03,0.012274772054001131,miner
2025-07-03,0.004800286193765887,wire
2025-07-04,-0.005706322365991139,miner
2025-07-04,0.0008605770946696267,wire
2025-07-07,-5.647372303003561e-05,miner
2025-07-07,0.006219557720486775,wire
2025-07-08,-0.006235092983151048,miner
2025-07-08,0.0016977786712882043,wire
2025-07-09,-0.0009574009537366805,miner
2025-07-09,-0.0013352509686678261,wire
2025-07-10,-0.02086364501609376,miner
2025-07-10,0.002968785881955831,wire
2025-07-11,-0.003672498751092762,miner
2025-07-11,-0.004520265986842438,wire
2025-07-14,0.00011827209215302913,miner
2025-07-14,-0.010394893277844913,wire
2025-07-15,-0.007782009167697989,miner
2025-07-15,-0.014534368428219336,wire
2025-07-16,-0.001662485346648115,miner
2025-07-16,0.0036229300209299053,wire
2025-07-17,0.0006547596486768696,miner
2025-07-17,-0.0036229869607728934,wire
2025-07-18,0.00020754749203473997,miner
2025-07-18,-0.0019013298625282745,wire
2025-07-22,0.001468225060215371,miner
2025-07-22,-0.016183671083356846,wire
2025-07-23,0.0020208619963979543,miner
2025-07-23,-0.006164555040955914,wire
2025-07-24,0.0019417564839158304,miner
2025-07-24,0.021255430089921923,wire
2025-07-25,-0.03066426031001921,miner
2025-07-25,-0.01109416531194824,wire
2025-07-28,-0.004935522217942752,miner
2025-07-28,-0.0012397209725361312,wire
2025-07-29,-0.0037024684104842048,miner
2025-07-29,-0.004189490458118762,wire
2025-07-30,-0.004782578690163146,miner
2025-07-30,-0.01706000964332889,wire
2025-07-31,-0.03071611378403935,miner
2025-07-31,-5.5483749770502896e-05,wire
2025-08-01,-0.00949003221409081,miner
2025-08-01,0.0026613677081527634,wire
2025-08-04,-0.0018770226506310533,miner
2025-08-04,0.005693038062541371,wire
2025-08-05,-0.006600524231171708,miner
2025-08-05,-0.013382170534596616,wire
2025-08-06,-0.0016941016435577756,miner
2025-08-06,0.0061637178152942115,wire
2025-08-07,-0.0019263480730762027,miner
2025-08-07,-0.0673922740558496,wire
2025-08-08,-0.007164152268650805,miner
2025-08-08,-0.019518661600360088,wire
2025-08-12,0.00011260165365482508,miner
2025-08-12,-0.0059545310421612735,wire
2025-08-13,-0.013588028068646394,miner
2025-08-13,0.014212409027871012,wire
2025-08-14,-0.0020217149283684732,miner
2025-08-14,0.01958266315894714,wire
2025-08-15,-0.028475462667982093,miner
2025-08-15,0.013606969165367903,wire
2025-08-18,-0.031334309407970475,miner
2025-08-18,-0.01149607612633311,wire
2025-08-19,-0.0016843395010124572,miner
2025-08-19,0.004632944832243266,wire
2025-08-20,0.002814605614925641,miner
2025-08-20,0.001232316851939337,wire
2025-08-21,0.00023348592628035826,miner
2025-08-21,-0.005161968129755963,wire
2025-08-22,-0.017646134611363162,miner
2025-08-22,0.003696527783257347,wire
2025-08-25,-0.009823670875343448,miner
2025-08-25,0.004875245645788642,wire
