hypothesis,scale,horizon,N,gross,net,wr,t_stat,pf,sharpe
H4b_BB<-1.5σ,Core30,10,416,3.2031451413882857,3.103145141388285,64.90384615384616,7.880050860041397,2.9368350775139676,1.8789191671077394
H5_52週高値×vol≥1.5x,Core30,10,249,0.1624474530542266,0.06244745305422675,45.38152610441767,0.4037362432739037,1.0281641718415597,0.04937420979399614
H6_5MA>25MA,Core30,10,483,0.6874179087663537,0.5874179087663537,53.002070393374744,2.3916687697830716,1.2771794363577607,0.46682497019491603
H7a_5d<-8%,Core30,10,620,2.893037996077168,2.793037996077168,63.064516129032256,7.3294132144572925,2.123925625484173,1.4265806820781897
H7b_5d>+10%,Core30,10,596,0.9388369437447796,0.8388369437447797,53.85906040268457,3.08006730882377,1.3548847784981712,0.5658804966780028
H8a_vol≥2.0x×陰線,Core30,10,275,3.282797156441002,3.1827971564410023,62.54545454545455,6.76028606797753,3.058715449258665,1.9841016131683276
H8b_vol≥1.5x×陰線,Core30,10,707,2.336376202290924,2.2363762022909244,59.54738330975955,8.202717080879914,2.247527991492517,1.4823487255122334
H9a_MA25 -5〜0%,Core30,10,4968,0.9234075681587713,0.8234075681587715,55.49516908212561,9.857303087126226,1.417384822907522,0.6260211582781678
H9b_MA25 -10〜-5%,Core30,10,1426,2.121030898925673,2.0210308989256727,61.22019635343619,10.413762075196002,2.0639783962415583,1.319089054697989
H10_vol≥2.0x×大陽線,Core30,10,259,1.8569972237536139,1.7569972237536142,58.301158301158296,4.055193827989467,1.8976110720109332,1.1968006774987652
H11_52高値-30%超下,Core30,10,1578,1.9586117688764455,1.8586117688764456,57.28770595690747,9.275945313169403,1.8302855907033186,1.1123597698561676
H12_20日高値×vol≥1.5x,Core30,10,534,0.7008678985707529,0.6008678985707531,48.68913857677903,2.3805161049063073,1.2713532243829513,0.4433468218195039
H1a_MA25<-15%,Core30,20,202,9.513377379975923,9.413377379975923,76.73267326732673,10.462154352125111,7.185742933540157,2.5854816265236553
H1b_MA25<-10%,Core30,20,560,5.75089635751275,5.6508963575127495,66.60714285714285,10.674125526959289,3.1808696541360644,1.5732776243080044
H1c_MA25 -10〜-5%,Core30,20,1426,3.238817358573006,3.1388173585730064,59.53716690042076,11.471108513528074,2.1841093160335787,1.044986031929431
H2a_20d下落<-20%,Core30,20,218,8.97932235907891,8.879322359078909,76.60550458715596,10.114548833362058,6.521142023494368,2.404583160085958
H2b_20d下落<-10%,Core30,20,1296,4.203039349801234,4.103039349801234,61.419753086419746,12.763952948075223,2.4915729979981682,1.2285990988244657
H3a_20d上昇>+20%,Core30,20,622,4.3756584435814245,4.275658443581424,61.09324758842444,7.750499855989792,2.328445083778177,1.0779022616302398
H3b_20d上昇>+10%,Core30,20,3031,2.1922192204241226,2.092219220424123,57.04387990762124,10.591722812041649,1.6738610064776607,0.6517516170590004
H4a_BB<-1.8σ,Core30,20,249,6.076102450827955,5.976102450827955,71.4859437751004,8.955049664074508,4.577246779719996,1.9812831402641065
H4b_BB<-1.5σ,Core30,20,416,5.472216587090733,5.372216587090732,68.02884615384616,10.572487155316106,3.9631198894613076,1.806367075041525
H5_52週高値×vol≥1.5x,Core30,20,249,1.6422310852141615,1.5422310852141616,57.831325301204814,2.776639116716717,1.5554513614123386,0.5865705042638084
H6_5MA>25MA,Core30,20,483,0.9348842379743387,0.834884237974339,55.072463768115945,2.3392614506172764,1.2891091658774714,0.3374107346504617
H7a_5d<-8%,Core30,20,620,5.043707887251047,4.943707887251047,65.48387096774194,10.214862763712066,2.878088415414882,1.42733146419094
H7b_5d>+10%,Core30,20,596,1.6217608050388008,1.521760805038801,54.0268456375839,3.2574422951259834,1.4020927747413985,0.444424986273702
H8a_vol≥2.0x×陰線,Core30,20,275,3.4160866882456373,3.3160866882456372,62.18181818181818,5.653506568177533,2.416431481906175,1.1747185288066853
H8b_vol≥1.5x×陰線,Core30,20,707,3.2395271073053893,3.139527107305389,60.67892503536068,8.578996232461133,2.3538113734029484,1.1099276273975653
H9a_MA25 -5〜0%,Core30,20,4968,1.8026297794545414,1.7026297794545415,55.3341384863124,14.135898687010918,1.6906153737568894,0.6724060100726169
H9b_MA25 -10〜-5%,Core30,20,1426,3.238817358573006,3.1388173585730064,59.53716690042076,11.471108513528074,2.1841093160335787,1.044986031929431
H10_vol≥2.0x×大陽線,Core30,20,259,2.744648257789977,2.6446482577899766,60.231660231660236,4.315955473305045,1.9991544376674668,0.9172623533246519
