code,entry_date,exit_date,entry,exit,hold_days,ret_pct,pnl
57110,2023-05-16,2023-05-30,2427.0,2372.0,14,-2.292244560898534,-0.02452244560898534
57110,2023-06-07,2023-06-30,2478.5,2610.0,23,5.169668285611046,0.05009668285611046
57110,2023-07-28,2023-08-08,2521.0,2539.0,11,0.7114654516758664,0.0055146545167586635
57110,2023-08-09,2023-08-14,2615.0,2354.0,5,-10.514808867880127,-0.10674808867880128
57110,2023-08-29,2023-09-29,2436.0,2492.0,31,2.272825107755609,0.02112825107755609
57110,2023-10-30,2023-12-06,2399.5,2450.5,37,2.103170305130208,0.019431703051302082
57110,2023-12-07,2023-12-11,2500.0,2510.0,4,0.3992021269537457,0.002392021269537457
57110,2024-01-05,2024-02-13,2510.0,2573.0,39,2.4789780155914665,0.023189780155914663
57110,2024-03-07,2024-03-13,2689.0,2625.5,6,-2.3898023190950664,-0.025498023190950663
57110,2024-03-15,2024-04-02,2848.5,2837.5,18,-0.38691571307921896,-0.00546915713079219
57110,2024-04-10,2024-04-22,3099.0,3080.0,12,-0.6149881820128039,-0.0077498818201280385
57110,2024-05-21,2024-05-24,3240.0,2990.0,3,-8.029994240164298,-0.08189994240164297
57110,2024-06-26,2024-07-19,2974.5,2908.0,23,-2.2610397974550334,-0.024210397974550334
57110,2024-08-19,2024-09-09,2656.5,2350.0,21,-12.259413875279325,-0.12419413875279325
57110,2024-09-20,2024-10-16,2513.5,2514.0,26,0.019890601756271428,-0.0014010939824372858
57110,2024-11-07,2024-11-13,2566.0,2422.0,6,-5.7754621062544125,-0.05935462106254412
57110,2024-11-26,2024-11-28,2449.0,2385.0,2,-2.648065362972609,-0.028080653629726095
57110,2024-12-04,2024-12-17,2449.0,2344.5,13,-4.3607618422526695,-0.04520761842252669
57110,2024-12-27,2025-02-04,2395.0,2411.5,39,0.6865729664010901,0.005265729664010901
57110,2025-02-10,2025-02-18,2450.0,2397.5,8,-2.1661496781179417,-0.02326149678117942
57110,2025-03-07,2025-04-01,2404.0,2467.5,25,2.607147565253854,0.024471475652538537
57110,2025-04-23,2025-06-24,2237.5,2218.0,62,-0.8753282238698048,-0.01035328223869805
57110,2025-06-30,2025-07-18,2280.0,2268.0,18,-0.5277057100843782,-0.006877057100843781
57110,2025-07-25,2025-09-01,2340.0,2552.0,38,8.67264361129333,0.08512643611293329
57110,2025-09-26,2025-10-22,2771.5,2864.0,26,3.283055922067693,0.03123055922067693
57110,2025-10-28,2025-10-29,2999.0,2926.0,1,-2.464259716893952,-0.02624259716893952
57110,2025-11-14,2025-11-20,3050.0,3047.0,6,-0.09840906157482734,-0.0025840906157482734
57110,2025-11-27,2026-01-29,3160.0,4525.0,63,35.90455495530688,0.3574455495530688
57110,2026-02-12,2026-03-05,5010.0,5600.0,21,11.133068264433012,0.10973068264433011
57110,2026-04-08,2026-04-23,5455.0,5393.0,15,-1.143080292994419,-0.01303080292994419
57110,2026-05-13,2026-05-19,5850.0,5000.0,6,-15.70037488096648,-0.1586037488096648
