p1,p2,n,corr,beta,adf_p,coint_p,hurst,spread_mean,spread_std,sector
8306.T,8411.T,304,0.9119127211527169,0.7225080642079817,0.010595640346859413,0.04056487055943657,0.4051835114913883,3.5901106648931376e-14,0.025131883974429073,銀行
8316.T,8411.T,304,0.9263912321448207,0.8045294888150503,0.034534467931551106,0.10820719826131503,0.4128843428432184,3.62400168353959e-14,0.0263671440246929,銀行
8306.T,8308.T,304,0.8617878527849614,0.8886724049217967,0.03940835336013094,0.12568185787641334,0.33093652777459276,1.0839282687787713e-14,0.03259359743543227,銀行
8308.T,8354.T,304,0.8485274185316993,0.865802966902012,0.06392218283331974,0.17697693373380075,0.48497827520044834,-2.772635922024404e-15,0.06035359090510303,銀行
8411.T,8354.T,304,0.8234810323838454,1.1058049047405132,0.1009149581941784,0.250422291504493,0.4199479556621179,-1.835373958077693e-14,0.05544869567749886,銀行
8306.T,8354.T,304,0.8166596350724709,0.7967432839151876,0.10170123810963383,0.2519714366700326,0.44796377799271125,-1.4657865564590552e-14,0.04864319937276761,銀行
8316.T,8354.T,304,0.8324021087333174,0.9014549233673779,0.10960634107089795,0.2665145872509795,0.3960135053390724,-1.3176594318577516e-14,0.04368583562033208,銀行
8306.T,8316.T,304,0.9195816359796032,0.8751457169416728,0.13077404104118034,0.30456171253853115,0.46095897644065814,-1.9224388163246132e-14,0.036895668574357526,銀行
8411.T,8308.T,304,0.8840402911751669,1.1890336428216643,0.1355506452551779,0.31270450883274425,0.4740811937213325,-6.5327860080575e-15,0.06256747969610821,銀行
8316.T,8308.T,304,0.8715360966455564,0.9428822874964942,0.22917170381378288,0.45465383435620227,0.524226126247878,2.1155591898186207e-14,0.06358092639760622,銀行
9432.T,9434.T,304,0.5802378236121806,0.5192122881068285,0.00893902477971532,0.03532850469773064,0.4226554704142858,-9.080455685618385e-15,0.023046548983357607,通信
9432.T,9433.T,304,0.5004020415447393,0.25456814958579993,0.11792456753937564,0.28157052066661464,0.4211504364950376,3.051652497949937e-15,0.027022387851769587,通信
9433.T,9434.T,304,0.5589523551144171,0.17964971594148404,0.2709708787103131,0.507982541988103,0.40028441486202615,1.605440926398746e-14,0.04555781217357951,通信
9020.T,9022.T,304,0.6102131182384989,0.6560610964947042,0.04921967491604968,0.14505281993901775,0.48516866344052284,-2.934202588502749e-14,0.03893248044327794,鉄道
8801.T,8802.T,304,0.7812799814154092,0.5175494788414854,0.2472124505106884,0.47701686967557394,0.48511742025652566,-1.1553623554947846e-14,0.0464686665680485,不動産
8801.T,8830.T,304,0.2558603453342203,0.21956891191624484,0.4914369483242248,0.7261105548863682,0.5076876741525956,-7.24566605544839e-16,0.10694797161717012,不動産
8802.T,8830.T,304,0.25233573626113975,0.39270194782215734,0.8087300823356361,0.9292551163769728,0.4890008972198541,1.0506215780400166e-14,0.19625688830032217,不動産
9101.T,9107.T,304,0.8785946697248562,0.6181967568685105,0.06983441702689948,0.18901379087915826,0.4065327003109261,2.4775503286371913e-15,0.027595791117983468,海運
9101.T,9104.T,304,0.8102212295318904,0.4135985556520866,0.12594953629856775,0.29577094145171445,0.5110944980772727,-8.7561536968463e-15,0.04644765978673851,海運
9104.T,9107.T,304,0.7887593550052323,0.8051163491377935,0.5489878290601069,0.6995619648082257,0.4818111186542654,2.196196441080869e-14,0.08064431228405045,海運
2502.T,2503.T,338,0.4691648943653852,-0.35709122829517254,0.14498353710873668,0.32883079720374225,0.4593478470281295,3.556392524325886e-14,0.06593665978632648,ビール
4502.T,4568.T,304,0.49838137757682277,-0.8188681971998655,0.00019284382172078072,0.0011843977033596728,0.34051058807336093,1.3112318248730797e-14,0.06977919778292287,医薬
4568.T,4578.T,304,0.48053954482498334,-0.3848495456665064,0.00048772296037252977,0.002817497841837121,0.44382746784816113,-2.243819165558211e-15,0.08736108776106333,医薬
4568.T,4188.T,304,0.21151154398063624,-0.41602501083591614,0.005755247172431327,0.024528538856987678,0.45945297558130266,-1.3813511737967737e-14,0.09012038213321998,医薬
4503.T,4578.T,304,0.5635116585019283,1.3849339580528373,0.014106418796270339,0.056492965639333856,0.40096685720802566,6.538629287134474e-15,0.0669484643001656,医薬
4523.T,4578.T,304,0.567828662341397,0.4751143832082773,0.10384233300247697,0.08396531068767099,0.47736271829615773,5.2005183785073125e-15,0.053952132576829716,医薬
4503.T,4568.T,304,0.4969686149347568,-1.3246303469671006,0.056686063898792535,0.16132599832833583,0.41832051594320635,-1.8569940906624988e-14,0.16952656086710383,医薬
