trade_date,bps
2018-01-30,0.0
2018-01-31,0.0
2018-02-01,0.0
2018-02-02,0.0
2018-02-05,0.0
2018-02-06,0.0
2018-02-07,0.0
2018-02-08,0.0
2018-02-09,0.0
2018-02-13,0.0
2018-02-14,0.0
2018-02-15,-31.452216496176163
2018-02-16,0.0
2018-02-19,12.056358775262275
2018-02-20,0.0
2018-02-21,0.0
2018-02-22,-21.761013613873054
2018-02-23,0.0
2018-02-26,-10.96731935250754
2018-02-27,0.0
2018-02-28,0.0
2018-03-01,-43.855113426069416
2018-03-02,18.096192117809363
2018-03-05,0.0
2018-03-06,-0.127725061379241
2018-03-07,0.0
2018-03-08,38.1160045254415
2018-03-09,0.0
2018-03-12,0.0
2018-03-13,0.0
2018-03-14,0.0
2018-03-15,5.785831248538225
2018-03-16,0.0
2018-03-19,0.0
2018-03-20,0.0
2018-03-22,0.0
2018-03-23,-3.825858664151859
2018-03-26,0.0
2018-03-27,0.0
2018-03-28,0.0
2018-03-29,0.0
2018-03-30,0.0
2018-04-02,0.0
2018-04-03,-0.1837344985595143
2018-04-04,0.0
2018-04-05,0.0
2018-04-06,0.0
2018-04-09,-24.378571845057778
2018-04-10,0.0
2018-04-11,45.25741649037594
2018-04-12,0.0
2018-04-13,8.562914483065834
2018-04-16,-2.4237182058856
2018-04-17,0.0
2018-04-18,60.18223463590711
2018-04-19,0.0
2018-04-20,0.0
2018-04-23,0.0
2018-04-24,4.250914658797582
2018-04-25,0.0
2018-04-26,-2.930074280913843
2018-04-27,0.0
2018-05-01,0.0
2018-05-02,0.0
2018-05-07,0.0
2018-05-08,0.0
2018-05-09,0.0
2018-05-10,-1.889253663519706
2018-05-11,-4.452600238580242
2018-05-14,-6.60698424375565
2018-05-15,0.0
2018-05-16,0.0
2018-05-17,0.0
2018-05-18,9.257135550735827
2018-05-21,0.0
2018-05-22,3.81127653779355
2018-05-23,-46.5918237488657
2018-05-24,0.0
2018-05-25,0.0
2018-05-28,8.622627045944412
2018-05-29,0.0
2018-05-30,0.0
2018-05-31,0.0
2018-06-01,-0.9993543974943763
2018-06-04,0.0
2018-06-05,0.0
2018-06-06,0.0
2018-06-07,0.0
2018-06-08,0.0
2018-06-11,0.0
2018-06-12,0.0
2018-06-13,0.0
2018-06-14,-23.860837018797827
2018-06-15,-35.628196163294746
2018-06-18,22.213872465050507
2018-06-19,0.0
2018-06-20,0.0
2018-06-21,44.45796928536236
2018-06-22,0.0
2018-06-25,8.483965289308353
2018-06-26,0.0
2018-06-27,0.0
2018-06-28,80.74212081856335
2018-06-29,23.407552867485716
2018-07-02,66.82105908371612
2018-07-03,0.0
2018-07-04,0.0
2018-07-05,0.0
2018-07-06,0.0
2018-07-09,0.0
2018-07-10,0.0
2018-07-11,0.0
2018-07-12,0.0
2018-07-13,0.0
2018-07-17,-0.9892276997710238
2018-07-18,0.0
2018-07-19,0.0
2018-07-20,0.0
2018-07-23,0.0
2018-07-24,-18.274985164613323
2018-07-25,0.0
