sym,time,th,N,mean,wr,pf,sharpe,t
1605.T,10:00,20,166,1.5695392377306954,50.0,1.0378061958315947,0.21668595106724536,0.17586707000574442
1605.T,10:00,30,125,-2.506110961305627,49.6,0.9425307876337069,-0.3451505587200844,-0.24308788602017004
1605.T,10:00,50,70,1.7524164357745275,52.85714285714286,1.0363438939261396,0.20753333315181044,0.10937967052770864
1605.T,10:00,80,29,12.215974079403953,58.620689655172406,1.2546965897793263,1.3238123519758733,0.44908149273749515
1605.T,11:00,20,176,4.369273507729182,50.0,1.133119953405564,0.7107642373001442,0.593993416203875
1605.T,11:00,30,137,3.3846832706583454,45.25547445255474,1.09542588426698,0.5276823315500098,0.38907431908862294
1605.T,11:00,50,89,1.1590666728509722,41.57303370786517,1.0337860242463217,0.19041172469549564,0.11315882251085138
1605.T,11:00,80,44,-1.0056154719395445,43.18181818181818,0.9746992551429218,-0.14914296474623084,-0.0623202002037264
1605.T,11:00,120,17,-31.74071132292163,23.52941176470588,0.5740151733418875,-3.473244916650952,-0.9021102118896939
1605.T,11:30,20,183,-4.413066811772812,49.18032786885246,0.866263445080834,-0.8302814050147865,-0.7075393300721624
1605.T,11:30,30,152,-3.481077863810417,50.0,0.8974154583257579,-0.6224335030052288,-0.4834087247475232
1605.T,11:30,50,87,3.6862880496600936,50.57471264367817,1.1042132795040356,0.5862347060934396,0.34445372189380197
1605.T,11:30,80,42,-12.729221140385253,40.476190476190474,0.7515883515726045,-1.7420823983265856,-0.711202160964015
1605.T,11:30,120,18,-45.145224171381976,22.22222222222222,0.462466114971787,-5.088552534026849,-1.3599728697806297
1605.T,13:30,20,180,0.9794800853638139,47.22222222222222,1.0391582589667325,0.23085462719603664,0.19510777039849586
1605.T,13:30,30,148,3.6248502221099113,48.64864864864865,1.1446264086466769,0.8113282495751312,0.621766308326017
1605.T,13:30,50,91,3.4352566037955357,46.15384615384615,1.1203627304992536,0.6891411302859224,0.4141222802128504
1605.T,13:30,80,52,4.631725353450137,48.07692307692308,1.1388925539535135,0.8250165281306403,0.37476933714320193
1605.T,13:30,120,20,-18.795880750420928,35.0,0.6680385561937162,-2.736889102995742,-0.7710311567056548
1605.T,14:00,20,197,-1.2632608035566255,46.7005076142132,0.9410021012316181,-0.35909809298175016,-0.31750161701548324
1605.T,14:00,30,165,-1.4092780954094732,46.666666666666664,0.936710554887784,-0.3875347892117264,-0.3135829180751413
1605.T,14:00,50,97,3.6150478320302972,50.51546391752577,1.1606676039071295,0.8866529094321985,0.550096954062849
1605.T,14:00,80,51,1.9814442748788468,49.01960784313725,1.0695021851471174,0.41052511335019504,0.18468199076063793
1605.T,14:00,120,22,8.004887615919053,54.54545454545454,1.2476170591534226,1.399302687101263,0.4134497542591603
5020.T,9:30,20,167,13.464911963203797,50.29940119760479,1.3693998421953215,1.9360549700969332,1.5760705324849522
5020.T,9:30,30,138,23.860125263765372,54.347826086956516,1.72069053856499,3.388536153379795,2.507560363625724
5020.T,9:30,50,73,40.96017325827566,60.273972602739725,2.4564866761148627,5.78584598687743,3.1140675476549813
5020.T,9:30,80,28,39.51384744852526,57.14285714285714,2.3336747147971426,5.543399668600227,1.847799889533409
5020.T,10:00,20,173,-1.3315927351476013,46.82080924855491,0.9668603135469058,-0.20716821988316486,-0.1716508330656106
5020.T,10:00,30,142,4.907407402264086,49.29577464788733,1.1411048429703339,0.7998980444704608,0.6004523333967666
5020.T,10:00,50,87,14.357185651157813,55.172413793103445,1.439357953287614,2.2859181648515694,1.3431361392347703
5020.T,10:00,80,42,31.795951751115005,61.904761904761905,2.157659513769659,4.7701975555775675,1.9474249972394397
5020.T,10:00,120,16,59.47685947046648,75.0,5.269733324349568,10.296524695003349,2.5944803534489567
5020.T,11:00,20,181,-0.5488950195002555,46.408839779005525,0.9837396350803778,-0.09483557580784607,-0.08037302283291908
5020.T,11:00,30,157,-0.821568342720114,47.77070063694268,0.9764083770097741,-0.1375957797734655,-0.1086062127706461
