sym,time,N,corr,dev_std
6963.T,11:00,257,0.0638422772530387,78.77591323529265
6963.T,11:30,257,-0.014496479547873413,85.77746204760966
6963.T,13:30,257,-0.057494985207295485,87.75677287016872
6963.T,14:00,257,-0.15930811198932046,91.31615388678934
8267.T,9:30,258,0.04456847185132829,61.21780583047743
8267.T,10:00,258,0.11316861481824741,69.34217386991156
8267.T,11:00,258,0.03497272491577381,71.24874343835302
8267.T,11:30,258,-0.0065089719739985065,67.1762386733996
8267.T,13:30,258,0.05661420826462826,71.57252927232445
8267.T,14:00,258,0.16026412573509705,74.632093787221
9020.T,9:30,258,-0.029660836172826267,40.50890091215419
9020.T,10:00,258,0.011828267330694454,46.88299764877781
9020.T,11:00,258,0.042615266744686874,48.826541836239436
9020.T,11:30,258,0.05310411415156641,48.61009724157204
9020.T,13:30,258,0.1115816586001936,53.70339040288597
9020.T,14:00,258,0.03949821269477258,54.07966644720018
7974.T,9:30,258,-0.010312726748963314,52.673469319479025
7974.T,10:00,258,-0.010868457473293543,64.63273975397854
7974.T,11:00,258,-0.06544940375644893,69.83447073464178
7974.T,11:30,258,-0.049801915407781665,72.71379032983296
7974.T,13:30,258,-0.046901047312252336,76.59410210556345
7974.T,14:00,258,-0.05423207473945291,74.1886495922849
6758.T,9:30,258,-0.10345393551079282,56.572960051805076
6758.T,10:00,258,-0.040303375237430245,61.63740417750594
6758.T,11:00,258,-0.08843650977049587,65.08808211913738
6758.T,11:30,258,-0.08813593617181788,66.66926024333908
6758.T,13:30,258,-0.06480039798588272,70.25619459582585
6758.T,14:00,258,-0.09747341163660393,66.72766375068765
8411.T,9:30,258,0.16328926486200884,53.88400681368126
8411.T,10:00,258,0.21237563514567365,58.06294959678306
8411.T,11:00,258,0.037130103353911974,76.11635540524262
8411.T,11:30,258,0.028508649558514083,73.79937508236797
8411.T,13:30,258,0.07465972208866488,76.27696451105126
8411.T,14:00,258,0.046570714957359816,75.92161620399187
