sym,time,th,N,mean,wr,pf,sharpe,t
5020.T,11:00,5,39,-1.0212866327286747,48.717948717948715,0.9709803169841998,-0.17370588274298324,-0.06833552883468484
5020.T,11:30,5,32,-19.489216492189303,46.875,0.6182546110773517,-3.052016521329484,-1.0875809677703403
5020.T,13:30,5,21,-48.719100372918874,42.857142857142854,0.37657652346271275,-5.298934012859447,-1.5296704893712327
9101.T,9:30,5,143,-10.377357183294826,47.55244755244755,0.7901163114798024,-1.2802263360001145,-0.9643940123958338
9101.T,9:30,10,79,-18.489263409195587,48.10126582278481,0.6773347951925414,-2.102299408006447,-1.1770850484967468
9101.T,9:30,20,21,-73.44371386713232,47.61904761904761,0.3403745347265131,-5.666809134849536,-1.6358668897258049
9101.T,10:00,5,84,-7.566605719760028,46.42857142857143,0.8332891549085089,-0.9928326735873215,-0.5732122113558958
9101.T,10:00,10,22,-2.3123191344388827,50.0,0.9411946574733608,-0.34153581672252964,-0.10091304818913187
9101.T,11:00,5,25,-39.135403309233794,40.0,0.3976666325125058,-5.570593950680219,-1.7545721724310315
9101.T,11:30,5,24,-5.441269844179627,41.66666666666667,0.8752485843657436,-0.7493345234039848,-0.2312496544069648
9104.T,9:30,5,142,-6.339704589115954,50.0,0.8717259879244091,-0.6515359641434522,-0.48908269330854093
9104.T,9:30,10,79,-0.7502564641701975,51.89873417721519,0.9851734325893071,-0.07393388414165471,-0.041395849358563684
9104.T,9:30,20,37,-6.440494719287172,51.35135135135135,0.9023920926216512,-0.48883718568768214,-0.1873116660714548
9104.T,10:00,5,94,-8.09627501108664,42.5531914893617,0.8430664348670532,-0.8209624354918239,-0.5014030161723452
9104.T,10:00,10,27,16.575005803512447,33.33333333333333,1.2953082191254688,1.126225806675354,0.36864392919303657
9104.T,11:00,5,34,-26.396031732058304,55.88235294117647,0.46647953015210164,-4.161445796894537,-1.5285633078476077
9104.T,11:30,5,29,-23.264997868072182,44.827586206896555,0.45111166211163467,-4.436795454700969,-1.5051096349071975
9107.T,9:30,5,152,-1.9134844756511669,51.973684210526315,0.9586880460143102,-0.2395528199013811,-0.1860470598370521
9107.T,9:30,10,100,-1.0231261884068386,52.0,0.9785870935875015,-0.12059381650945697,-0.07596696384194725
9107.T,9:30,20,35,-20.000078284978645,45.714285714285715,0.7122080360463583,-1.9175654772629889,-0.7146344597444785
9107.T,10:00,5,82,-2.891987393574566,50.0,0.9386550612804072,-0.36525761065095325,-0.20835596082216704
9107.T,10:00,10,29,-9.479001196473758,41.37931034482759,0.801048012038535,-1.4968565664656461,-0.5077838866505493
9107.T,11:00,5,35,-2.231622301421436,40.0,0.9541123956266141,-0.2858337872078643,-0.10652396307716573
9107.T,11:30,5,31,-30.44093177815346,35.483870967741936,0.44557832256790236,-4.2096193945729246,-1.4764658560413622
8035.T,9:30,5,171,-10.819507634068662,49.707602339181285,0.8243664333113067,-1.1673918210551264,-0.9616442320589266
8035.T,9:30,10,127,-5.921099149929785,48.818897637795274,0.899781024463508,-0.6480712001182266,-0.4600704208246586
8035.T,9:30,20,66,-5.317388901289783,50.0,0.9177352158175334,-0.5561837214344717,-0.28463609398149065
8035.T,10:00,5,123,-20.921552044691236,41.46341463414634,0.6469124743647283,-2.6934172370154243,-1.8817239844871863
8035.T,10:00,10,52,-22.227653885500374,48.07692307692308,0.6176461092737706,-2.9820664217255493,-1.3546238385300757
8035.T,11:00,5,56,-29.809830750217298,37.5,0.5701988781618703,-3.484034275025021,-1.6423895078376993
8035.T,11:30,5,38,-39.956334241592444,39.473684210526315,0.3471148199827809,-6.316130738773909,-2.4526898785392643
8035.T,14:00,5,27,-21.434869981518798,44.44444444444444,0.47800755749125806,-4.1217596369725635,-1.3491625380600343
6857.T,9:30,5,218,-8.241785827739973,46.788990825688074,0.9001628863804161,-0.6405350761787335,-0.5957593862595929
6857.T,9:30,10,177,-8.93196567693472,46.32768361581921,0.8927511759325283,-0.6845621707356179,-0.5737190345470404
6857.T,9:30,20,105,-5.203508453706185,49.523809523809526,0.9380753126091804,-0.387562043999057,-0.25017022367174235
6857.T,10:00,5,151,4.228118041297177,51.65562913907284,1.0653591972465328,0.3814533480932417,0.2952770099233906
6857.T,10:00,10,80,13.674977780860289,55.00000000000001,1.219880253132602,1.2120482843429987,0.6829118429659228
6857.T,10:00,20,28,57.33861110945588,67.85714285714286,2.400863031425748,5.397793857817173,1.7992646192723911
6857.T,11:00,5,77,8.050005282289542,54.54545454545454,1.123797111769246,0.6782431677796352,0.3749130173578525
6857.T,11:00,10,32,-38.904368172760904,46.875,0.5735862533379279,-3.254994584651175,-1.159911860149452
6857.T,11:30,5,57,-6.056262239294655,50.877192982456144,0.9051716627290087,-0.6051320318377283,-0.287797687355551
6857.T,11:30,10,21,-2.047904108744866,52.38095238095239,0.961982170811149,-0.2634233005856806,-0.07604375675198119
6857.T,13:30,5,46,-11.30394952994356,50.0,0.766803019727499,-1.5883792024296113,-0.678629660830076
6857.T,14:00,5,40,-34.39513378930756,52.5,0.40383716509750345,-5.082834110418858,-2.0250495817577843
6146.T,9:30,5,205,3.2335332125427154,51.21951219512195,1.0455897541924648,0.27226514784917605,0.24556626898179745
6146.T,9:30,10,152,-0.6101234654994971,50.0,0.9918994890090587,-0.05021897438747077,-0.03900222312835857
