sym,break_dir,persist,hold,N,mean,wr,pf,sharpe,t
9107.T,up,30,120,189,-1.3324978238040275,47.61904761904761,0.9336770979231844,-0.3024977896174534,-0.2619707703973552
9107.T,down,30,120,192,-11.102285397904112,37.5,0.5712335172805161,-2.8617546824081477,-2.4979442766723134
9107.T,up,60,30,97,-2.0132303426527707,47.42268041237113,0.8805484822574909,-0.35367782501546574,-0.21942869886388006
9107.T,down,60,30,108,-7.652716096449141,35.18518518518518,0.5234939253804956,-3.333266137227932,-2.1821349121828657
9107.T,up,60,60,97,-1.666219799456074,52.57731958762887,0.9174177857399677,-0.27457882814590395,-0.17035412099412783
9107.T,down,60,60,108,-8.835899734788935,33.33333333333333,0.5676770776600001,-2.8455011466728326,-1.8628177706731277
9107.T,up,60,120,97,4.469718113091454,53.608247422680414,1.2333515131134398,0.8207857270740014,0.5092316549108393
9107.T,down,60,120,108,-10.829879226681847,34.25925925925926,0.557798956774693,-3.159980804473975,-2.0686930330156343
8035.T,up,20,30,235,-3.6754814724458718,42.97872340425532,0.7978006075855221,-1.2979112601414047,-1.2533681688618115
8035.T,down,20,30,266,-11.64926587182459,40.225563909774436,0.5412768043493927,-3.21437179036019,-3.302453079207469
8035.T,up,20,60,235,-6.421858683480011,42.97872340425532,0.7314279405930968,-1.7435624451151008,-1.6837250251546856
8035.T,down,20,60,266,-11.936060998627578,39.473684210526315,0.6292331069022389,-2.5864732759936286,-2.6573486801400277
8035.T,up,20,120,235,-2.1459302158015707,46.808510638297875,0.9240050124292453,-0.453219089917968,-0.43766503787155075
8035.T,down,20,120,266,-12.952955326596257,41.35338345864661,0.6633641429430447,-2.3374301460652442,-2.401481187227735
8035.T,up,30,30,176,-5.319672475592595,40.340909090909086,0.7100177361564443,-1.975108589197102,-1.650619764898749
8035.T,down,30,30,197,-10.391905350273246,36.54822335025381,0.5717468842570448,-2.980006745300793,-2.634814773015612
8035.T,up,30,60,176,-8.66536520096926,39.20454545454545,0.6284029203129945,-2.6368628906378584,-2.2036550437888622
8035.T,down,30,60,197,-8.800819827984563,37.56345177664975,0.6970151828078923,-2.004271063597895,-1.7721043805766317
8035.T,up,30,120,176,-3.2448220512946406,44.31818181818182,0.880630882497537,-0.7452497002601385,-0.6228132932854636
8035.T,down,30,120,197,-9.10935404598994,40.609137055837564,0.7429244872094388,-1.6932210845180686,-1.4970851775771434
8035.T,up,60,30,93,-9.089913494452004,35.483870967741936,0.5600990433862575,-3.304247394686967,-2.007306819870143
8035.T,down,60,30,100,-5.912842458986042,40.0,0.7173183183708235,-1.651057035599365,-1.0400681706141515
8035.T,up,60,60,93,-12.38433766492779,33.33333333333333,0.5014600203907819,-4.0161999814159195,-2.4398129588060886
8035.T,down,60,60,100,-4.0538037465645935,38.0,0.8262468523193371,-0.9741235213193457,-0.613640138968932
8035.T,up,60,120,93,-7.445460299883737,43.01075268817204,0.7513899656384164,-1.6858818108016163,-1.0241612240531728
8035.T,down,60,120,100,-4.105652155899282,39.0,0.8670771660698015,-0.7860820074983346,-0.49518511951023897
6857.T,up,20,30,262,-2.854050982640202,48.091603053435115,0.8825996223796021,-0.7291380678381003,-0.7434643498576089
6857.T,down,20,30,243,-6.255925234759696,41.9753086419753,0.7748253795490184,-1.5161345881208161,-1.4888146101009287
6857.T,up,20,60,262,-2.660367440623325,51.908396946564885,0.9100409514055383,-0.5265486620481223,-0.5368944181706395
6857.T,down,20,60,243,-10.184289080762037,40.74074074074074,0.7257663552672058,-1.8487450764223667,-1.8154316257248033
6857.T,up,20,120,262,-0.31706208345661285,54.961832061068705,0.9911878529149484,-0.04999853623045434,-0.05098091962558268
